paper_id,data_types,methods
10.1186_s13756-021-00975-y,"sequence data, transmission data, TB infection control data, genomic data, resistance gene sequence analysis, IS6110 and polymorphic repetitive sequence typing results","systematic reviews, sequencing"
10.1186_s13756-024-01419-z,"demographic data, BMI data, HIV status, comorbidity data, frequency of colds, BCG scar data, history of tuberculosis, history of tuberculosis in family, relationship with the index case, degree of closeness","written informed consent, logistic regression analysis, univariate and multivariate analysis, chi-square or Fisher’s exact test, IGRA (Interferon-γ release assay)"
10.1186_s40001-023-01046-1,"study design, population, sample size, prevalence, risk factors, intervention, diagnostic strategy, funding information, abstracts, articles, records","data extraction process, Mendeley software, thematic analysis, review and subject experts consultation, chartered librarian consultation, duplicate removal using Mendeley software"
10.1186_s40249-020-00717-z,"percentage data, numerical data, rainfall data, temperature data, humidity data, case data, percentage area covered by Forests data","Principal Components Analysis (PCA), Kaiser's rule of thumb, Factor analysis, Standard normalization procedure, Equation 1 and Equation 2, Variation max standardizing method with Kaiser normalization, Geo-calculator tool, ArcMap, Spatial interpolation tools, ""Extract by Point"" tool."
10.1186_s40249-020-00727-x,"primary author, year of publication, study area, study design, demographic characteristics (age and sex), clinical characteristics, laboratory profiles (parasite count, haemoglobin, leucocyte count, etc.)","Data extraction, Endnote software X7, Microsoft Excel 2010, funnel plot, Newcastle-Ottawa scale, Metapro Pa Stata command"
10.1186_s40249-020-00732-0,"patient-level data, census data, geographical coordinates, notification data","Google Earth Pro software, spatial scanning statistical technique, scan statistics, decomposition method called Seasonal-Trend by Loess (STL), locally weighted regression, RStudio software."
10.1186_s40249-020-00772-6,"population data, disease surveillance data, case notification data, clinical classification data, social vulnerability indicators","join-point regression model, trend analysis, statistical treatment"
10.1186_s40249-020-00787-z,"patient-level data, RDT positivity data, API data, summary statistics, descriptive statistics, logistic regression data, household condition data, environmental situation data, occupation data, education level data, travel history data, malaria attack history data","data collection, data assurance, data quality check, summary and descriptive statistics, logistic regression, case-by-case basis, Microsoft Excel spreadsheet"
10.1186_s40249-021-00822-7,"study design, exposure, populations, study methods, outcomes, sample size, number of participants with and without the event (LTFU), raw data, statistical analysis software material","JBI-MAStARI, meta-analysis, Mantel Haenszel method, pooled odds ratio, I2 tests"
10.1186_s40249-022-00949-1,"national funding data, funding project data, statistical analysis data, epidemiology data, household data, demographic data, educational level data, employment data, nationality data","statistical analysis, evaluation and interpretation of data, regression analysis"
10.1186_s40249-023-01110-2,"study designs, odds ratios, risk ratios, highest posterior densities, age, gender, domain, sampling methods, indicators of malaria and SEP, covariates, limitations, year, ITN use, HH size, house construction, children with current fever, asset index, altitude, monthly rain, IRS use","database searches, screening review articles, electronic search, searching existing systematic reviews, reference lists, data extraction forms, full-text screening, standardized Excel spreadsheet, GEE for binary logistic regression, multivariable logistic regression."
10.1186_s41043-023-00345-x,"WTP elicitations, field data, transcripts, supporting documents, satellite data, patient-level data, survey data","Face-to-face interviews, ex-post elicitation, WTP elicitations, sequential mixed-methods design, larviciding pilot, surveyors, Open Data Kit Collect setup."
10.1186_s41043-024-00590-8,"census data, primary data, questionnaire data, sociodemographic data, health variables, demographic data, water data, fly density data, family income data, educational level data, age data","Logistic regression, sample size determination"
10.1186_s41043-025-00813-6,"student registration book data, survey data","Ethical approval, informed written consent, verbal assent, permission from district health officials, head of administrative, school directors and village leader."
10.1265_ehpm.24-00169,"socio-demographic data, clinical data, job history, questionnaire data, chest X-ray reading, logistic regression analysis data, descriptive statistics, statistical analysis data, survey data","interviews, questionnaire, face-to-face interviews, logistic regression analyses, Chi-Square test, descriptive statistics"
10.1265_ehpm.24-00243,"Particulate matter (PM2.5 and PM10), sulfur dioxide (SO2), nitrogen oxides (NOx), volatile organic compounds (VOCs), oxygenated compounds (O3), carbon monoxide (CO)",systematic review
10.1371_journal.pmed.1003042,"geospatial data, survey data, open-source data, population-based cohort data","Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Supervision, Validation, Visualization, Writing – original draft"
10.1371_journal.pmed.1003297,"substance use data, human trafficking data, sex work data, demographic data, sampling procedure data, depression data, research quality data","systematic review, data extraction, quality assessment using the Centre for Evidence-Based Management (CEBM) Critical Appraisal for Cross-Sectional Surveys Tool"
10.1371_journal.pmed.1003369,"meteorological dataset, anonymized data, hospitalization counts, daily mean temperatures, gross domestic product","Regression analysis, cross-basis function modeling, linear function, natural cubic spline, prospective analysis, observational study."
10.1371_journal.pntd.0008149,"survey data, questionnaire data, face-to-face interview data, tablet data, assets and livestock ownership data, education and occupation data, indicators data, KAP study data, maximum likelihood estimator (MLE) data.","Structural equation model (SEM), multiple correspondence analysis, measurement error testing, probit estimation."
10.1371_journal.pntd.0008393,"patient-level data, continuous variables, categorical variables, mean, standard deviation, frequencies, Kruskalwallis test results, generalized linear regression model outputs, body mass index (BMI)","Mean, standard deviation calculation, frequencies, Kruskal-Wallis test, generalized linear regression model, written informed consent."
10.1371_journal.pntd.0008508,"GPS positions, household data, ecological data, satellite data, elevation data, rainfall data","Geostatistical models, mixed effects logistic regression, binary infection outcome analysis, random effects for study sites and households, variable transformations, statistical modeling."
10.1371_journal.pntd.0008687,"paper forms, custom Access database, Excel spreadsheets, STATA format, satellite data","Cox proportional hazard regression analysis, statistical method of investigating the effect of one or more variables upon the time a specific outcome occurs, data curation, formal analysis, methodology, project administration, resources, supervision, writing – original draft, writing – review & editing."
10.1371_journal.pntd.0008703,"R software data, MASS package data, glm package data, Rcmdr package data, ggplot2 package data, ggpbur package data, QGis 3.10 software data, shapefiles, kernel density estimate, categorical variables, descriptive statistics, logistic regression, socio-economic status (SES) data","case-control study, multivariable logistic regression, backward/forward Akaike Information Criterion (AIC) selection, principal components analysis"
10.1371_journal.pntd.0008918,"seroprevalence data, entomological transmission indices, socioeconomic information, knowledge attitude and practice (KAP) variables, House Index (HI), Container Index (CI), Breteau Index (BI), Demographic Index (DI), survey data","Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing – original draft, Writing – review & editing, statistical analysis, Spearman correlation analysis, Analysis of variance (ANOVA)"
10.1371_journal.pntd.0009024,"satellite data, socioeconomic data, built-up data, population data, property tax scores, wealth indicators","GLMM logistic regression, multivariate analysis, univariate analysis, model simplification, GLM log-linear regression."
10.1371_journal.pntd.0009257,"household survey data, entomological data, blood samples from individuals, GPS coordinates","cluster study design, diagram of household enrollment and data collection, formal analysis, funding acquisition, investigation, methodology, project administration, resources, software, supervision, visualization, writing – original draft, writing – review & editing"
10.1371_journal.pntd.0009486,"patient-level data, geographic coordinates, prevalence data, intensity data, demographic data, geographical data, behavioural data, socioeconomic data, satellite data","Kato-Katz tests, logistic regression model, non-uniform spline interpolation, quadratic fitted values, twoway command in STATA."
10.1371_journal.pntd.0009679,"spatial data, relative spatial data, household-level data, person-level data, serosurvey data","unmanned aerial vehicle mapping, serosurvey data, logistic mixed regression models, vector control activities"
10.1371_journal.pntd.0009745,"satellite data, patient-level data, case information, address information, geo-data, socioeconomic environment variables, climatic variables","ARIMA model, BP neural network model, GAM, species ecological niche model, Maxent prediction model, principal component analysis, regression analysis, time-series analysis."
10.1371_journal.pone.0222399,"birth weight Z-score, gestational age, demographic data, SES data, food insecurity data","Hierarchical regression, self-initiated research grant, National Health Scholars Program, Creative Commons Attribution License."
10.1371_journal.pone.0225219,"employee data, questionnaire form data, database data, statistical analysis data","Conceptualization, Data curation, Formal analysis, Investigation, Methodology, Project administration, Software, Malaria screening"
10.1371_journal.pone.0225361,"Clinical information, imaging examination, drug susceptibility testing, sputum culture, patient-level data, survey data","data curation, formal analysis, investigation, methodology, project administration, resources, software, sputum culture, drug susceptibility testing"
10.1371_journal.pone.0225744,"patient-level data, demographic data, symptom data, sputum test results, radiograph data, treatment data, time-series data","data collection, data analysis, regression analysis, hazard ratio calculation, descriptive statistics"
10.1371_journal.pone.0231143,"demographic data, educational attainment data, employment data, religion data, area and region data, socioeconomic status data, household amenities data, health service utilization data, wealth index data, media utilization data","mixed methods study, regression analysis"
10.1371_journal.pone.0231737,"patient-level data, survey data, demographic data, educational data, socioeconomic status indices, satellite data (none mentioned), computational details, model fit evaluation, consent documents, project information sheet, database.","Field activities, data curation, formal analysis, programming the database, regression analysis, likelihood ratio test (LRT), written informed consent, assent, field interviews, descriptive statistics."
10.1371_journal.pone.0232838,"patient records, numerical data, categorical variables, frequency tables, bar charts, Z-scores, MUAC, edema","Microsoft Excel, Stata, descriptive statistics, frequency tables, bar charts, univariable and multivariable logistic regression analysis, multiple imputation by chained equations, robust standard errors."
10.1371_journal.pone.0234399,"surveys, participant data, population densities, elevations, SES index, eigenvector coefficients","Conceptualization, data curation, formal analysis, funding acquisition, investigation, methodology, project administration, resources"
10.1371_journal.pone.0236247,"qualitative study data, open access article data, publicly accessible Texas Data Repository data, survey data","qualitative study, syndemics framework"
10.1371_journal.pone.0237269,"population estimates, survey data, AtlasPlus data, American Fact Finder data, 5-year estimates, CDC data","multiple regression models, data availability statement"
10.1371_journal.pone.0237633,"behavioral data, health data, demographic data, socioeconomic data, blood samples for HIV testing","Investigation, Methodology, Resources, Supervision"
10.1371_journal.pone.0237649,"patient-level data, survey data, IgG-capture BED-enzyme immunoassay data, demographic data, behavioral variables data, questionnaire data","self-administered risk factor survey, computer-based program, χ2 or Fisher's exact test, student's t-test, univariate analysis, multiple logistic regression model"
10.1371_journal.pone.0244563,"survey data, binary variables, continuous measures, blood test results","Bayesian estimation, regression analysis, simultaneous modeling"
10.1371_journal.pone.0246192,"HIV survey data, questionnaire items, demographic data, socioeconomic data, household income data, domestic and dyadic characteristics","univariate ordinal logistic regressions, principal components analysis (PCA)"
10.1371_journal.pone.0246671,"household indicators, satellite data, patient-level data, survey data, Verbal autopsy (VA) interview, docket data","Principal components analysis, Stata 15, Fisher's exact test, InterVA-5 model."
10.1371_journal.pone.0249465,"study authors, publication year, study period, study design, study location, sample size, the relevant research question the paper or report addressed, Excel file, MeSH terms, free text terms, Boolean connectors","manual removal of duplicates, independent screening of publication titles and abstracts, standardized form for data extraction, thematic categorization of results"
10.1371_journal.pone.0249864,"patient-level data, satellite data, survey data","study design, data collection and analysis, decision to publish, or preparation of the manuscript, collaboration of all patients, medical and nursery staff and data managers, fieldwork data management and analysis."
10.1371_journal.pone.0250045,"Demographic data, categorical variables, continuous variables, frequencies, proportions, medians, chi square data, coordinates, picture data, sleeping structure data","structured survey tool, data collection using smartphone application and web-based database platform, household location coordinates captured, picture taken to confirm accuracy of reporting, sleeping structures inspected, field data collection by district and commune health officers and NIMPE personnel."
10.1371_journal.pone.0250550,"interview data, biomarker testing data, survey data","interviews, biomarker testing, chi-square automatic interaction detector (CHAID) model"
10.1371_journal.pone.0253746,"study design data, frequency data, sample size data, publication year data, region data","Search, literature search using MeSH and text words, data extraction with JBI MAStARI, statistical analysis with Stata version 14.0, heterogeneity test with I-Squared (I2), cross-checking of extracted data, contact with corresponding authors for further information."
10.1371_journal.pone.0256121,"patient-level data, physical parameters, questionnaire data, spirometry data","EPI-DATA software (version 3.1), STATA (version 12.0), logistic regression analysis, t-tests, Wilcoxon rank sum tests, chi-square test, spirometry."
10.1371_journal.pone.0256534,"point data, polygon data, census tracts database, spatial analysis tools, GIS data, R language packages, binary data, cartographic street map, canine data, household data, temperature data, precipitation data, vegetation data, water bodies data","Collecting samples, guardian's survey, analyzing samples, mapping samples, changing scale, applying statistical models, performing thematic maps, preparing data for spatial model, preparing training data for spatial model, validation of models."
10.1371_journal.pone.0257906,"Interview transcripts, quotes","Manual transcription, coding and analysis in Bahasa, thematic framework analysis, indexing, open coding, team-based analysis and discussion, iterative process of checking and rechecking transcripts against translated interpretations, framework analysis."
10.1371_journal.pone.0258915,"ecological covariates, socio-demographic covariates, infection prevalence and intensity, statistical predictor","conceptualization, data curation, formal analysis, regression analysis, likeliho od ratio tests, precision mapping"
10.1371_journal.pone.0284032,"panel data, XLSX data, DO file data, recorded live births reports, annual General Household Surveys, Subnational Human Development Database","Regression analysis, econometric analysis"
10.1371_journal.pone.0285533,"study design, prevalence, risk factors, challenges, authors, year of publication, countries, research information","data extraction, narrative approach, PRISMA-based flow diagram, Mixed-Meth od Appraisal Tool (MMAT), manual and electronic search using databases"
10.1371_journal.pone.0301311,"transcripts, audio recordings, verbatim transcripts, thematic framework, codebook, matrix data","framework method, deductive and inductive coding, thematic analysis, charting, matrix creation, systematic coding"
10.1371_journal.pone.0308271,"anonymous secondary sources, census data, temperature data","analysis of anonymous secondary data, modeling"
10.1503_cjs.005614,"computed tomography scans, patient-level data, satellite data, binary logistic regression","statistical technique, regression analysis, independent sample t tests, multivariate binary logistic regression"
10.1590_2237-6089-2018-0081,"patient-level data, semi-structured interview protocol data, rapid test results for syphilis, HIV and HCV, sociodemographic characteristics, age data, education data, housing status data, primary drug problem data, suicidal ideation data, psychotic symptoms data, safer sex practice data","manual data entry into Excel, double-checking procedure conducted by two members of the research staff, semi-structured interview protocol administered by CRATOD staff, rapid testing services for blood borne viruses and STI."
10.21149_11984,"patient-level data, clinical diagnosis data, laboratory test results, government guidelines","systematic review, literature search"
10.2196_40659,"case reports, registered case data, ecological information, population data, statistical yearbook data","stepwise regression, linear regression, multivariate time series analysis, ARIMA model, multiple regression, Poisson regression, Lasso regression, random effect model, Panel regression."
10.3201_eid2603.191314,"sequence data, genetic data, genomic data, SNP data, sequence alignment/map format data","Cox frailty proportional hazards model, Kaplan-Meier survival curves, regression analysis, sensitivity analyses, exclusion of household contacts with co-prevalent TB or undiagnosed TB."
10.3389_fpubh.2021.691006,"survey data, patient-level data, genomic data","complete enumeration survey data collection, Chi-squared test"
10.3389_fpubh.2022.832624,"self-reported questionnaires, HIV infection records, satellite data, patient-level data, survey data","study design, Institutional Review Board review and approval, written informed consent from participants, data collection, data interpretation, article preparation"
10.3389_fpubh.2024.1376235,"Survey data, secondary data","Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing – review & editing."
10.3389_fpubh.2024.1503884,"Secondary cross-sectional data, publicly available datasets, longitudinal study data","Statistical Software Suite (SAS), multiple imputation by chained equations, bivariate method, iterative process that starts by imputing every missing value with random draws from the data."
10.3389_fpubh.2025.1427319,"statistical yearbook data, demographic data, health data, financial data","spatiotemporal Bayesian model, estimation, imputation by linear interpolation"
10.3389_fpubh.2025.1591552,"epidemiological data, demographic data, quantitative variables, qualitative variables","Pearson chi-squared test, Mann–Whitney U test, Generalized Estimating Equations (GEE), regression analysis."
10.3906_sag-2006-140,"quantitative variables, categorical variables, continuous variables, self-report data, survey data","IBM SPSS for Windows 21.0, Kolmogorov-Smirnov test, Mann-Whitney U or Kruskal-Wallis tests, χ² test or Fisher exact test, Spearman rank test, backward stepwise logistic regression procedure, Chronbach alpha test"
10.4081_gh.2020.819,"patient-level data, survey data, geographic data","Principal Component Analysis (PCA), regression analysis, Principal Component Analysis"
10.4081_gh.2024.1285,"Rainfall data, temperature data, average annual income data, proportion of households not using preventive measures data","expert opinion, min-max method, literature-based justifications"
10.47205_jdss.2021(2-iv)74,"documents, reports, accord, treaties, formulas, policy files","multi-stage analysis approach, document analysis, word clouds based on theoretical perspective, MAXQDA 2020"
10.5365_wpsar.2018.9.1.005,"patient-level data, self-reported data, smoking habits, drinking habits, body weight, height, diabetes diagnosis, signs and symptoms, chest X-ray screening history, attendance at medical facilities, BMI","data collection for PTB patients, structured patient cards, self-reported smoking and drinking habits, physician-diagnosed diabetes mellitus, body weight and height measurement, exclusion of incomplete data sets, univariable analysis, backward stepwise method, multivariable analysis."
10.5644_ama2006-124.296,"patient-level data, mortality data, study data, report data, data on asthma prevalence and severity, data from the Global Asthma Network, disease data",prediction tools
