paper_id,cause,effect,description,effect_polarity,edge_label
10.1186_s13011-020-00301-6,Low income,Low income X2 = 13.68 P = 0.002,Strong and positive,correlated with,correlated_with
10.1186_s13011-020-00301-6,Cigarette smoking,Cigarette smoking 3.4 1.38 – 8.40,Strong and positive,correlated with,correlated_with
10.1186_s13011-020-00301-6,Harmful alcohol use,Harmful alcohol use,Strong and positive,related to,strongly_related_to
10.1186_s13071-020-04157-4,Contact infected water,"""Fever and diarrhea""","""Cause of infection""","""Negative""","""causes_symptoms"""
10.1186_s13071-020-04551-y,VL outbreaks,VL surveillance data are not available at the block level prior to 2009,"The other eight blocks, all north of the Ganges River, had mean annual incidence between 2 and 7 per 10,000 population during 2009–2011.",Negative,is_relevant_to
10.1186_s13071-020-04551-y,All age groups were affected by VL,Risk was significantly higher among 10–19 year-olds and adults 35 years or older compared to children younger than 10 years,"In univariable analyses, adult males had",Positive,affects
10.1186_s40249-020-00717-z,Temperature and relative humidity,"""Dengue fever cases""","""Modelling the association of dengue fever cases with temperature and relative humidity.""",Positive,associates_with_dengue_fever
10.1186_s40249-020-00717-z,El Niño,"""Vectorborne disease transmission""","""El Niño and the dynamics of vectorborne disease transmission.""",Positive,affects_vectorborne_disease
10.1186_s40249-020-00717-z,Dengue hemorrhagic fever epidemics,"""Epidemiology""","""Description and forecasting of dengue hemorrhagic fever epidemics.""",Unknown,is_described_by
10.1186_s40249-020-00727-x,Slide positive rate,Parasitaemia level difference,"The meta-regression analysis using the slide positive rate as a covariate revealed that the slide positive rate was not a confounding factor for the parasitaemia level difference (P= 0.375, t = − 1.04, 95% CI: − 60.7– 30.8).",Unknown,does_not_confound
10.1186_s40249-020-00727-x,Study site,Platelet count in patients with severe P. knowlesi infections,"The subgroup analysis of study sites demonstrated that a subgroup difference was observed (P= 0.004), and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001, MD: − 21 280, 95% CI: − 28 120– 14 440, I2 = 74%) and those studies conducted in Sarawak (P < 0.00001, MD: − 32 550, 95% CI: − 36 220– 28 890, I2 = 0%).",Negative,affects_platelet_count
10.1186_s40249-020-00732-0,AIDS,Increased TB incidence,AIDS impacted the increase in the number of cases of pulmonary and extrapulmonary TB.,Positive,affects_tb_incidence
10.1186_s40249-020-00787-z,Having fever,RDT positivity,The presence or absence of fever was reported on the basis of the patients' responses through proper history taking by the VHV.,Positive,has_fever
10.1186_s40249-020-00787-z,Traveling to malaria endemic area outside the village,RDT positivity,Traveling to malaria endemic area of outside the village increases the likelihood of having a positive RDT result.,Positive,travels_to_endemic_area
10.1186_s40249-021-00822-7,I don't know the answer. The provided document appears to be a research paper and its supplementary information,which does not contain causal relationships that can be extracted in the specified CSV format. The text only discusses the study's methodology,results,and author contributions,without mentioning any cause-and-effect relationships.
10.1186_s40249-022-00949-1,Deprivation quintile,"""Excess risk of non-MDR-TB""","""The excess risk of non-MDR-TB increased from 28.1 to 93.5% with increased deprivation from the third to the fifth quintiles of the EDI-PT.""",Positive,increases_excess_risk
10.1265_ehpm.24-00169,"Sex, female","""Lower risk of MDR-TB""","""Female sex was found to be associated with a lower risk of MDR-TB.""",Positive,female_sex_lowers_mdr_tb
10.1265_ehpm.24-00169,"Income, <Regional Minimum Wage","""Higher risk of MDR-TB""","""Patients earning less than the regional minimum wage were more likely to develop MDR-TB.""",Positive,increases_mdr_tb_risk
10.1265_ehpm.24-00169,"Marital status, Single","""Higher risk of MDR-TB""","""Single marital status was found to be associated with a higher risk of MDR-TB.""",Positive,increases_mdr_tb_risk
10.1265_ehpm.24-00169,"Marital status, Divorced or widowed","""Higher risk of MDR-TB""","""Divorced or widowed marital status was found to be associated with a higher risk of MDR-TB.""",Positive,increases_mdr_tb_risk
10.1265_ehpm.24-00169,"Smoke per years, >10 pack-years","""Lower risk of MDR-TB""","""Patients who smoked more than 10 pack-years were less likely to develop MDR-TB.""",Positive,lowers_mdr_tb_risk
10.1265_ehpm.24-00169,"Alcohol consumption, yes","""Higher risk of MDR-TB""","""Alcohol consumption was found to be associated with a higher risk of MDR-TB.""",Positive,increases_mdr_tb_risk
10.1265_ehpm.24-00169,"Travelling time, >3 hours","""Higher risk of MDR-TB""","""Patients who traveled more than 3 hours to the hospital were more likely to develop MDR-TB.""",Positive,increases_mdr_tb_risk
10.1265_ehpm.24-00169,"Role of PMO, supportive","""Lower risk of MDR-TB""","""Supportive role of PMO was found to be associated with a lower risk of MDR-TB.""",Positive,lowers_mdr_tb_risk
10.1371_journal.pmed.1003042,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1371_journal.pmed.1003042,We did not adjust for country-level confounding,HIV heterogeneity,We did not adjust for country-level confounding because we expect the associations between HIV and the predictor variables to be similar across countries.,Unknown,is_relevant_to
10.1371_journal.pmed.1003297,Physical violence ever by client,"""Depression (PHQ-9)""","""Physical violence ever by a client is associated with depression.""",Positive,"""is_associated_with_depression"""
10.1371_journal.pmed.1003297,Physical violence ever by client,"""Suicide ideation or attempt ever""","""Physical violence ever by a client is associated with suicide ideation or attempt.""",Positive,"""is_associated_with_suicide"""
10.1371_journal.pmed.1003369,Holiday,Decreased hospitalization,Holiday was a binary variable (public holiday or not) to adjust for potential impacts of public holidays on hospitalization.,Negative,holidays_impact_hospitalizations
10.1371_journal.pntd.0008149,Disease knowledge,Demand for prevention,A one-unit increase in disease knowledge increased the demand for prevention by 0.84 unit for malaria and dengue.,Positive,increases_demand_for_prevention
10.1371_journal.pntd.0008393,Comorbidities,"""Wound healing""","""Comorbidities negatively impact wound healing.""",Negative,affects_wound_healing
10.1371_journal.pntd.0008393,Risk factors,"""Wound volume""","""The study found that risk factors are associated with increased wound volume.""",Positive,is_associated_with
10.1371_journal.pntd.0008508,Elevation,"""S. haematobium infection""","""The reported odds ratios (ORs) correspond to an increase of 100 m for elevation...""",Positive,elevation_associated_with_infection
10.1371_journal.pntd.0008508,Annual rainfall,"""S. haematobium infection""","""The reported odds ratios (ORs) correspond to an increase of 100 mm for annual rainfall...""",Positive,annual_rainfall_associated_with_infection
10.1371_journal.pntd.0008703,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1371_journal.pntd.0008703,Farming being the main source of income,Dengue risk,Farming being the main source of income is associated with dengue risk on a subset of the dataset.,Unknown,farming_associated_with_dengue_risk
10.1371_journal.pntd.0008703,Eaves gaps in households,Types of vector control activities,"Households with or without eaves gaps in northeastern Thailand differ significantly in types of vector control activities, June 2016 and August 2019.",Negative,differs_in_vector_control_activities
10.1371_journal.pntd.0008918,Don't know,"""Transmission of dengue""","""Don’t know is relevant to transmission of dengue.""",Unknown,is_relevant_to
10.1371_journal.pntd.0009024,Age group,"""IgG positivity""",No association between age group and IgG positivity.,Unknown,no_association_age_group_igG_positive
10.1371_journal.pntd.0009024,Socio-economic variables,"""Anti-DENV IgG seropositivity""",No socio-economic variables were associated with anti-DENV IgG seropositivity.,Negative,has_no_association_se_vars_anti_denv_igg
10.1371_journal.pntd.0009486,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1371_journal.pntd.0009486,Health districts,living in certain health districts,"Participants living in certain health districts, were significantly associated with S. mansoni infection.",Positive,associated_with_infection
10.1371_journal.pntd.0009486,Age,S. mansoni infection risk,"To explore the relationship between S. mansoni infection risk and age,",Unknown,is_related_to
10.1371_journal.pntd.0009679,Vector control activities,Increased community participation,Implementation of vector control activities increases community participation.,Positive,increases_community_participation
10.1371_journal.pntd.0009679,Dengue status,Risk factors for symptomatic dengue,Dengue status is associated with risk factors for symptomatic dengue.,Unknown,is_associated_with
10.1371_journal.pntd.0009679,Vegetation index,Disease risk,Vegetation index is associated with disease risk.,Positive,is_associated_with
10.1371_journal.pntd.0009745,GDP,"""DF cases""","""The DF cases were strongly associated with GDP.""",Positive,correlates_with_disease_outbreaks
10.1371_journal.pntd.0009745,Road density,"""DF cases""","""The DF cases were strongly associated with road density.""",Positive,correlates_with_disease_outbreaks
10.1371_journal.pntd.0009745,Population density,"""DF cases""","""The DF cases were strongly associated with population density.""",Positive,correlates_with_disease_outbreaks
10.1371_journal.pone.0225744,LTBI and no treatment,No LTBI,Treatment of latent tuberculosis infection (LTBI) is effective for preventing progression to active TB.,Positive,prevents_TB_progression
10.1371_journal.pone.0225744,Not tested,No LTBI,Failing to test for LTBI may result in undiagnosed and untreated cases.,Negative,fails_to_diagnose_and_treat
10.1371_journal.pone.0225744,Having a spouse with TB,LTBI and no treatment,Marrying someone with TB increases the risk of developing LTBI if not treated.,Positive,increases_LTBI_risk
10.1371_journal.pone.0231143,mother's wealth category,mother's utilization of health services during and after her last pregnancy,being HIV-exposed in a child,Negative,lowers_HIV_exposure
10.1371_journal.pone.0231737,ever given birth,Experience of violence among girls aged 10–14 years,The experience of violence is associated with having ever given birth.,Negative,associated_with_violence
10.1371_journal.pone.0232838,Anemia,Increased mortality,"Children with anemia are challenging to healthcare workers, and result in poor treatment outcomes.",Negative,increases_mortality
10.1371_journal.pone.0236247,Discrimination at job,Lost employment,She was fired because she could no longer work due to her injury.,Negative,fired_due_to_injury
10.1371_journal.pone.0236247,Injury on the job,Lost employment,She was fired because she could no longer work due to her injury.,Negative,fired_due_to_injury
10.1371_journal.pone.0237269,Poverty Ratio,"""% Latino Living Below Poverty""","""The coefficient measures the change in the rate for Latino versus NL Whites (i.e. the disparity) when X changes one unit.""",Negative,poverty_increases_latino_poverty
10.1371_journal.pone.0237649,Age,"""Mean (SD)""","""No competing interests exist.""",Positive,age_affects
10.1371_journal.pone.0237649,Living with family,"""No""","""Increased risk of HIV infection among those not living with family.""",Negative,living_with_family_affects_hiv_infection
10.1371_journal.pone.0237649,Region of residence 2 years before induction,"""Upper North""","""Higher incidence of HIV infection in Upper North region.""",Positive,region_of_residence_affects_hiv_infection
10.1371_journal.pone.0237649,Occupation,"""Student""","""Increased risk of HIV infection among students.""",Negative,occupation_affects_hiv_infection
10.1371_journal.pone.0244563,Have electricity,Testing positive,Subjects who have electricity are more likely to test positive for HIV.,Positive,test_positive
10.1371_journal.pone.0244563,Islam,Some knowledge of the disease,The presence of Islam is associated with increased knowledge about the disease.,Positive,knowledge_of_disease
10.1371_journal.pone.0244563,Had a job currently or had a job in past year,Testing positive,Having a job is positively correlated with testing positive for HIV.,Positive,test_positive
10.1371_journal.pone.0246671,Mother death,Child survival,The timing of a mother's death and child survival may be due to the shared environment or other common risk factors.,Unknown,timing_may_influence_survival
10.1371_journal.pone.0246671,Holdings SES variation,Main finding,We computed the household wealth index by summarizing the common set of household assets. We used this index as a time-varying covariate to determine if SES variation explained our main finding.,Positive,explains_main_finding
10.1371_journal.pone.0249864,LP,"""composite endpoint""",LP remains a major health issue in Spain,Negative,lp_leads_to_composite_endpoint
10.1371_journal.pone.0249864,time-period (2004–2008),"""risk factors for LP and LPAD had changed over time""",The risk factors for LP and LPAD had changed over time,Positive,leads_to_changes_in_risk_factors
10.1371_journal.pone.0250045,Slept on farm,Malaria prevention knowledge,No other competing interests are declared.,Negative,no_effect_on_malari a_prevention
10.1371_journal.pone.0258915,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.1371_journal.pone.0258915,Children,Age-related infection risk,Infection prevalence being 13.2% higher in children compared to adults.,Negative,increases_infection
10.1371_journal.pone.0284032,Under-five mortality rate,"""Fertility""","""Some studies find that a decrease in under-five mortality is associated with a decline in fertility.""",Positive,declines_fertility
10.1371_journal.pone.0284032,No statistically significant relationship between under-five mortality and fertility,"""Fertility""","""Some studies find no statistically significant relation-ship between under-five mortality and fertility.""",Unknown,no_significant_relationship
10.1371_journal.pone.0301311,Applying the thematic framework to all transcripts,Organized codes reflecting prominent themes within the dataset,The thematic framework was systematically applied to all transcripts and organized codes which were valuable for organizing the research question into categories.,Positive,organizes_codes_reflecting_prominent_themes
10.1371_journal.pone.0308271,Minimum yearly temperature,"""Dengue fever incidence""","""Rising temperatures increase dengue risk.""","""Positive""","""increases_dengue_risk"""
10.1371_journal.pone.0308271,Population density,"""Dengue fever incidence""","""An increase of one standard deviation in population density decreased the risk of dengue fever incidence by a factor of 0.72.""","""Negative""","""decreases_dengue_risk"""
10.1371_journal.pone.0308271,% Mayan population,"""Dengue fever incidence""","""An increase of one standard deviation in % Mayan population decreased the risk of dengue fever incidence by a factor of 0.52.""","""Negative""","""decreases_dengue_risk"""
10.21149_11984,Age >60 years,Progresión de síntomas graves o muerte,Una edad >60 años era factor de riesgo para la progresión (B2b).,Negative,ages_associated_with_severe_outcome
10.21149_11984,Deterioro cognitivo y síntomas depresivos,Fragilidad del estado de salud,"Los cambios relacionados con la edad, como la desnutrición, el deterioro cognitivo y los síntomas depresivos, interactúan en varios niveles y conducen a una mayor fragilidad de su estado de salud (D5).",Positive,deterioration_leads_to_fragility
10.21149_11984,Enfermedad pulmonar crónica,Desarrollo de Covid-19 severo,"La enfermedad pulmonar crónica (EPOC) mostró un aumento de cuatro veces el riesgo de desarrollar Covid-19 severo (OR 4.38, IC95% 2.34-8.20).",Positive,EPOC_increases_severe_covid_risk
10.21149_11984,Enfermedad pulmonar crónica,"Muerte, ingreso en UCI y VMI","La enfermedad pulmonar crónica (EPOC) fue factor estadísticamente significativo para los subgrupos de muerte, ingreso en UCI y VMI (OR 6.55, IC95% 1.85-22.46).",Positive,EPOC_associated_with_severe_outcomes
10.2196_40659,Cause,Effect,Description,Effect_Polarity,Edge_Label
10.2196_40659,Panel regression,could not include all 128 factors and ID and time to fit,N/A,Negative,does_not_fit
10.2196_40659,Random effect model,better than the pool model and fixed effect model,N/A,Positive,is_better_than
10.3201_eid2603.191314,Household exposure to Beijing strains,TST-positive,children <5 years of age who had household exposure to Beijing strains were 1.5 times more likely than those exposed to other strains to be TST-positive at baseline,Positive,beijing_strain_exposure_tst_positive
10.3201_eid2603.191314,Household exposure to Beijing lineage,TB progression,Beijing lineage–exposed contacts were 7 times more likely than those exposed to the M. africanum lineage to progress to TB after 2 years of follow-up,Positive,beijing_lineage_exposure_tb_progression
10.3389_fpubh.2021.691006,Year of death,"""Percentage of deaths from TB""","A decreasing trend in the percentage of deaths from TB was observed among patients with singles (55.1%, n = 12,115), while a decreasing trend in the percentage of deaths from TB was observed among patients with",Negative,decreases_TB_mortality
10.3389_fpubh.2021.691006,Marital status,"""Percentage of deaths from TB""","A decreasing trend in the percentage of deaths from TB was observed among married patients (47.7%, n = 9,853), while a decreasing trend in the percentage of deaths from TB was observed among single patients (52.3%)",Negative,decreases_TB_mortality
10.3389_fpubh.2021.691006,Occupation,"""Percentage of deaths from TB""","A higher percentage of deaths from TB was observed among students, homemakers, and unemployed individuals (76.5%, n = 16,802)",Positive,increases_TB_mortality
10.3389_fpubh.2022.832624,Age,"""Older PLWH in SA group""","""There was a statistically signiﬁcant age diﬀerence among the three groups. The PLWH in the SA group were older than those in the SI or NSB groups.""",Positive,olders_plwh_sa_group
10.3389_fpubh.2024.1376235,Media exposure,"""Heard about HIV""","""Women’s education and wealth index""",Positive,media_exposure_and_hiv_knowledge
10.3389_fpubh.2024.1376235,Multiple sexual partners,"""Yes""","""Unemployment""",Negative,multiple_sexual_partners_and_unemployment
10.3389_fpubh.2024.1376235,Heard about HIV,"""Yes""","""Wealth index (higher)""",Positive,hiv_knowledge_and_wealth_index
10.3389_fpubh.2024.1376235,Residence (Rural),"""No""","""Occupation (Employed)""",Unknown,residence_and_occupation
10.3389_fpubh.2024.1503884,Mother's education level,"""Anemia status""","""Mothers with higher education have lower rates of anemia.""",Positive,anemia_status
10.3389_fpubh.2024.1503884,Electricity,"""Anemia status""","""Households without electricity have higher rates of anemia.""",Negative,anemia_status
10.3389_fpubh.2025.1427319,Establishment of a special fund for leprosy,"""More stable association results""","""The establishment of a special fund for leprosy in 2004 and the outbreak of COVID-19 at the end of 2019 may have resulted in great heterogeneous associations between socioeconomic factors and leprosy risk.""",Negative,limits_associations
10.3906_sag-2006-140,Have a psychiatric disorder,Anxiety,Individuals with psychiatric disorders may experience increased anxiety during the COVID-19 pandemic.,Positive,anxiety_related_to_psychiatric_disorder
10.3906_sag-2006-140,HIV+ and thinking you will have more complications if you acquire COVID-19,Anxiety,The fear of acquiring COVID-19 and experiencing additional complications due to HIV+ status may contribute to increased anxiety in individuals with HIV.,Positive,fear_of_complications_contributes_to_anxiety
10.4081_gh.2020.819,Family poverty,Malaria deaths,Family poverty has proven to be a major factor in childhood deaths attributed to malaria.,Positive,major_factor_in_childhood_deaths
10.4081_gh.2024.1285,Rainfall reduction,"""Impact on larval breeding sites""","""A reduction in rainfall could potentially impact larval breeding sites.""",Negative,reduces_larval_breeding_sites
10.47205_jdss.2021(2-iv)74,Lack of sustained water policy,treatment capacity is insufficient,Water sharing formula has not been effectively implemented due to lack of sustained water policy.,Negative,impedes_effective_implementation
10.47205_jdss.2021(2-iv)74,Treatment capacity is insufficient,socioeconomic and agricultural crises,Insufficient treatment capacity leads to socioeconomic and agricultural crises.,Positive,socioeconomic_and_agricultural_crisis
10.47205_jdss.2021(2-iv)74,Distrust among the working institutions of the provinces,number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition,Distrust among the working institutions of the provinces leads to number of political and racist movements gaining strength.,Positive,leads_to_political_movement_strength
10.47205_jdss.2021(2-iv)74,Number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition,atmosphere of hatred among the people,Number of political and racist movements gaining strength creates an atmosphere of hatred among the people.,Negative,creates_hateful_atmosphere
10.5365_wpsar.2018.9.1.005,Malnutrition,"""impairs cell-mediated immunity""","""Malnutrition impairs cell-mediated immunity.""",Positive,impairs_cell_mediated_immunity
10.5644_ama2006-124.296,Extreme social inequalities,Poor health education,Extreme social inequaliti...,Negative,social_inequalities_impacts_health_education
