description,edge_label,EdgeBetweenness,interaction,name,paper_id,selected,shared interaction,shared name,�E�
nan,causes_nomadic_migration,97,No difference,Climate change (No difference) Migration,https___doi.org_10.5751_es-06528-190268,FALSE,No difference,Climate change (No difference) Migration,382
Could increase the complexity of the area of competence.,increases_complexity,97,Unknown,Climate change (Unknown) complexity of the area of competence,https___doi.org_10.1111_risa.13128,FALSE,Unknown,Climate change (Unknown) complexity of the area of competence,343
"""the degree to which a system is susceptible to","adverse effects of climate change""",97, or unable to cope with,Climate change ( or unable to cope with) Vulnerability,https___doi.org_10.1007_978-3-642-17776-7_2,FALSE, or unable to cope with,Climate change ( or unable to cope with) Vulnerability,288
"""creeping",Negative,97," long-term""","Climate change ( long-term"") sea level rise",https___doi.org_10.1007_978-3-642-17776-7_2,FALSE," long-term""","Climate change ( long-term"") sea level rise",286
The combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.,increases_cases,97,Positive,Climate change (Positive) Visceral Leishmaniasis,10.1186_s12940-025-01180-9,FALSE,Positive,Climate change (Positive) Visceral Leishmaniasis,155
"""Climate change is expected to affect mortality through a number of other",Negative,97," more indirect pathways.""","Climate change ( more indirect pathways."") Mortality",10.1038_s41598-021-99156-5,FALSE," more indirect pathways.""","Climate change ( more indirect pathways."") Mortality",35
"""High 0.14 (− 0.01","0.26)""",96, 0.30) 0.10 (− 0.05,SES ( 0.30) 0.10 (− 0.05) Higher total cholesterol,10.1038_s41598-021-96035-x,FALSE, 0.30) 0.10 (− 0.05,SES ( 0.30) 0.10 (− 0.05) Higher total cholesterol,31
"""Middle − 0.01 (− 0.15","− 0.11)""",96, 0.13) − 0.04 (− 0.19,SES ( 0.13) − 0.04 (− 0.19) Lower total cholesterol,10.1038_s41598-021-96035-x,FALSE, 0.13) − 0.04 (− 0.19,SES ( 0.13) − 0.04 (− 0.19) Lower total cholesterol,30
Individuals with psychiatric disorders may experience increased anxiety during the COVID-19 pandemic.,anxiety_related_to_psychiatric_disorder,85,Positive,Have a psychiatric disorder (Positive) Anxiety,10.3906_sag-2006-140,FALSE,Positive,Have a psychiatric disorder (Positive) Anxiety,272
Reference,maternal_age_group_higher_total_cholesterol,82,Unknown,Maternal age group (14 E9) (Unknown) Higher total cholesterol,10.1038_s41598-021-96035-x,FALSE,Unknown,Maternal age group (14 E9) (Unknown) Higher total cholesterol,34
Rapid temperature increases significantly promote disease transmission.,promotes_transmission,78,Positive,Temperature deviation > 1 (Positive) Visceral Leishmaniasis,10.1186_s12940-025-01180-9,FALSE,Positive,Temperature deviation > 1 (Positive) Visceral Leishmaniasis,153
Combined effects of increased precipitation and rising temperatures due to climate change may further elevate the risk of VL and expand its endemic areas.,elevates_risk,76,Positive,Increased precipitation (Positive) Visceral Leishmaniasis,10.1186_s12940-025-01180-9,FALSE,Positive,Increased precipitation (Positive) Visceral Leishmaniasis,154
She was fired because she could no longer work due to her injury.,fired_due_to_injury,72,Negative,Discrimination at job (Negative) Unemployment,10.1371_journal.pone.0236247,FALSE,Negative,Discrimination at job (Negative) Unemployment,229
nan,lowers_physical_health,71,Negative,Age below 25 years (Negative) GPH,10.1186_s12955-021-01702-2,FALSE,Negative,Age below 25 years (Negative) GPH,157
nan,causes_southward_migration,70,Granger causality found at lag 1,Precipitation (Granger causality found at lag 1) Migration,https___doi.org_10.5751_es-06528-190268,FALSE,Granger causality found at lag 1,Precipitation (Granger causality found at lag 1) Migration,385
nan,causes_northward_migration,70,Granger causality found at lag 1,Precipitation (Granger causality found at lag 1) Migration,https___doi.org_10.5751_es-06528-190268,FALSE,Granger causality found at lag 1,Precipitation (Granger causality found at lag 1) Migration,384
nan,causes_conflict,70,Granger causality found at lag 21,Precipitation (Granger causality found at lag 21) Conflict number,https___doi.org_10.5751_es-06528-190268,FALSE,Granger causality found at lag 21,Precipitation (Granger causality found at lag 21) Conflict number,383
"""If an individual is male",Positive,69," it increases their chances of getting malaria.""","Male ( it increases their chances of getting malaria."") Malaria",10.1186_s12936-020-03423-1,FALSE," it increases their chances of getting malaria.""","Male ( it increases their chances of getting malaria."") Malaria",117
She was fired because she could no longer work due to her injury.,fired_due_to_injury,66,Negative,Injury on the job (Negative) Unemployment,10.1371_journal.pone.0236247,FALSE,Negative,Injury on the job (Negative) Unemployment,230
The DF cases were strongly associated with road density.,correlates_with_disease_outbreaks,66,Positive,Road density (Positive) DF cases,10.1371_journal.pntd.0009745,FALSE,Positive,Road density (Positive) DF cases,221
The DF cases were strongly associated with population density.,correlates_with_disease_outbreaks,64,Positive,Population density (Positive) DF cases,10.1371_journal.pntd.0009745,FALSE,Positive,Population density (Positive) DF cases,222
nan,affects_mental_health,63,Unknown,Divorced/widowed (Unknown) GMH,10.1186_s12955-021-01702-2,FALSE,Unknown,Divorced/widowed (Unknown) GMH,159
All SDI countries showed a declining trend in ASIR.,declines_asir,59,Negative,Social development (Negative) Decreasing ASIR,10.1186_s12889-024-20664-w,FALSE,Negative,Social development (Negative) Decreasing ASIR,106
Fear of discrimination was a cause of death by suicide.,is_a_cause_of,58,Positive,Fear of discrimination (Positive) Suicide,10.1038_s41598-024-82101-7,FALSE,Positive,Fear of discrimination (Positive) Suicide,42
The age group 4 years and above has a higher risk of contracting malaria.,affects_malaria_risk,57,Positive,Age 4y+ (Positive) Malaria,10.1186_s12936-020-03423-1,FALSE,Positive,Age 4y+ (Positive) Malaria,118
nan,improves_mental_health,56,Positive,Food-insecure (Positive) GMH,10.1186_s12955-021-01702-2,FALSE,Positive,Food-insecure (Positive) GMH,162
Tackling the issue of unemployment and food insecurity improves physical HRQoL.,impedes_physical_health,56,Negative,Food-insecure (Negative) GPH,10.1186_s12955-021-01702-2,FALSE,Negative,Food-insecure (Negative) GPH,161
Pregnancy increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,52,Positive,Pregnant (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Pregnant (Positive) Unfavorable outcomes,43
Comorbidities negatively impact wound healing.,affects_wound_healing,49,Negative,Comorbidities (Negative) Wound healing,10.1371_journal.pntd.0008393,FALSE,Negative,Comorbidities (Negative) Wound healing,204
nan,affects_physical_health,49,Unknown,Comorbidities (Unknown) GPH,10.1186_s12955-021-01702-2,FALSE,Unknown,Comorbidities (Unknown) GPH,163
Male sex is associated with unfavorable outcomes for DM-TB comorbidity.,associated_with_unfavorable_outcomes,48,Positive,Male sex (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Male sex (Positive) Unfavorable outcomes,44
Addressing social and resource inequality...will address social stressors and mitigate psychological distress.,mitigates_stress,46,Negative,Socio-economic status (Negative) Psychological distress,10.1186_s12981-022-00498-5,FALSE,Negative,Socio-economic status (Negative) Psychological distress,164
Older individuals have a greater likelihood of getting infected with malaria.,affects_malaria_risk,45,Positive,Aging (15-64 years) and Aging (65 years and above) (Positive) Malaria,10.1186_s12936-020-03423-1,FALSE,Positive,Aging (15-64 years) and Aging (65 years and above) (Positive) Malaria,119
Black race/color is associated with unfavorable outcomes for DM-TB comorbidity.,associated_with_unfavorable_outcomes,45,Positive,Black race/color (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Black race/color (Positive) Unfavorable outcomes,45
Alcoholism increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,37,Positive,Alcohol (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Alcohol (Positive) Unfavorable outcomes,48
AIDS impacted the increase in the number of cases of pulmonary and extrapulmonary TB.,affects_tb_incidence,36,Positive,AIDS (Positive) Tuberculosis,10.1186_s40249-020-00732-0,FALSE,Positive,AIDS (Positive) Tuberculosis,185
Living in a household that does not own a hamlet has a protective effect against malaria.,protects_against_malaria,36,Negative,Household does not own a hamlet (Negative) Malaria,10.1186_s12936-020-03423-1,FALSE,Negative,Household does not own a hamlet (Negative) Malaria,120
Illicit drug use increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,34,Positive,Drug use (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Drug use (Positive) Unfavorable outcomes,49
Homelessness increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,31,Positive,Homelessness (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Homelessness (Positive) Unfavorable outcomes,51
Droughts that can be combined with maps of asset distribution and empirical damage functions to estimate the direct economic damages induced by weather extremes.,induces_direct_economic_damages,30,Positive,Droughts and weather extremes (Positive) Economic damages,https___doi.org_10.5194_gmd-14-5269-2021,FALSE,Positive,Droughts and weather extremes (Positive) Economic damages,374
Extreme weather will inhibit the development of renewable energy sources by reducing the ef�E�ciency of energy generation and increasing maintenance costs.,inhibits_renewable_energy,30,Negative,Droughts and weather extremes (Negative) Renewable energy consumption,https___doi.org_10.3389_fenvs.2022.879681,FALSE,Negative,Droughts and weather extremes (Negative) Renewable energy consumption,367
System-wide feedbacks between different components strengthen each other.,feedback_strength,30,Positive,Droughts and weather extremes (Positive) regions that oscillate between dry and wet conditions,https___doi.org_10.1111_risa.13128,FALSE,Positive,Droughts and weather extremes (Positive) regions that oscillate between dry and wet conditions,342
vulnerable flood-prone areas,flood_prone_areas,30,Negative,Droughts and weather extremes (Negative) floods,https___doi.org_10.1007_978-3-642-17776-7_2,FALSE,Negative,Droughts and weather extremes (Negative) floods,289
-hazards and risks to human life and property-,hurricanes_storms,30,Negative,Droughts and weather extremes (Negative) storms,https___doi.org_10.1007_978-3-642-17776-7_2,FALSE,Negative,Droughts and weather extremes (Negative) storms,287
Extreme weather events cause decreased food yields.,causes_food_yield_decrease,30,Positive,Droughts and weather extremes (Positive) Decreased food yields,10.1007_s10461-024-04280-8,FALSE,Positive,Droughts and weather extremes (Positive) Decreased food yields,4
Drought alters patterns of vector-borne and water-borne diseases.,alters_disease_patterns,30,Positive,Droughts and weather extremes (Positive) Altered patterns of vector-borne and water-borne diseases,10.1007_s10461-024-04280-8,FALSE,Positive,Droughts and weather extremes (Positive) Altered patterns of vector-borne and water-borne diseases,2
Drought causes heat-related illnesses.,causes_heat_related_illnesses,30,Positive,Droughts and weather extremes (Positive) Heat-related illnesses,10.1007_s10461-024-04280-8,FALSE,Positive,Droughts and weather extremes (Positive) Heat-related illnesses,1
Increased risk of HIV infection among students.,occupation_affects_hiv_infection,28,Negative,Occupation (Negative) Student,10.1371_journal.pone.0237649,FALSE,Negative,Occupation (Negative) Student,235
Residing more than 20 kilometers away from an urban area reduces the risk of getting malaria.,reduces_risk,24,Positive,Lives > 20 km from an urban area (Positive) Malaria,10.1186_s12936-020-03423-1,FALSE,Positive,Lives > 20 km from an urban area (Positive) Malaria,121
Immigrant status is associated with unfavorable outcomes for DM-TB comorbidity.,associated_with_unfavorable_outcomes,22,Positive,Immigrant status (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Immigrant status (Positive) Unfavorable outcomes,52
Indigenous identity increases unfavorable outcomes for DM-TB comorbidity.,increases_unfavorable_outcomes,18,Positive,Indigenous identity (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Indigenous identity (Positive) Unfavorable outcomes,53
"""The subgroup analysis of study sites demonstrated that a subgroup difference was observed (P= 0.004)",MD: ∁E21 280,15, and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001,Study site ( and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001) Malaria,10.1186_s40249-020-00727-x,FALSE, and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001,Study site ( and a significantly lower platelet count was found in both the included studies conducted in Sabah (P < 0.00001) Malaria,184
Modelling the association of dengue fever cases with temperature and relative humidity.,associates_with_dengue_fever,14,Positive,Temperature and relative humidity (Positive) Dengue,10.1186_s40249-020-00717-z,FALSE,Positive,Temperature and relative humidity (Positive) Dengue,180
Government assistance beneficiaries are associated with unfavorable outcomes for DM-TB comorbidity.,associated_with_unfavorable_outcomes,14,Positive,Government assistance beneficiaries (Positive) Unfavorable outcomes,10.1038_s41598-025-93476-6,FALSE,Positive,Government assistance beneficiaries (Positive) Unfavorable outcomes,54
No evidence of association between BCG vaccination and LTBI.,has_no_association_with,11,Unknown,BCG vaccination (Unknown) LTBI,10.1136_bmjgh-2020-003550,FALSE,Unknown,BCG vaccination (Unknown) LTBI,55
The percentage who sought treatment for fever in the past 2 weeks was used as a proxy indicator for seeking malaria care. This might have overestimated malaria cases as there are other causes of fever among individuals (besides malaria).,overestimates_malaria_cases,9,Negative,Proxy input parameters (Negative) Malaria,10.1186_s12936-020-3103-5,FALSE,Negative,Proxy input parameters (Negative) Malaria,124
"""The other eight blocks",had mean annual incidence between 2 and 7 per 10,0, all north of the Ganges River,Visceral Leishmaniasis ( all north of the Ganges River) Visceral Leishmaniasis,10.1186_s13071-020-04551-y,FALSE, all north of the Ganges River,Visceral Leishmaniasis ( all north of the Ganges River) Visceral Leishmaniasis,178
Strong and positive,correlated_with,0,correlated with,Low income (correlated with) Low income,10.1186_s13011-020-00301-6,FALSE,correlated with,Low income (correlated with) Low income,174
Strong and positive,strongly_related_to,0,related to,Low education (related to) Low education,10.1186_s13011-020-00301-6,FALSE,related to,Low education (related to) Low education,173
Strong and positive,strongly_related_to,0,related to,Alcohol (related to) Alcohol,10.1186_s13011-020-00301-6,FALSE,related to,Alcohol (related to) Alcohol,176
Strong and positive,strongly_associated_with,0,associated with,Male sex (associated with) Male sex,10.1186_s13011-020-00301-6,FALSE,associated with,Male sex (associated with) Male sex,172
Dengue status is associated with risk factors for symptomatic dengue.,is_associated_with,0,Unknown,Dengue (Unknown) Dengue,10.1371_journal.pntd.0009679,FALSE,Unknown,Dengue (Unknown) Dengue,218
Table 2 Association between participants Echaracteristics and malaria rapid diagnostic test (RDT) results.,associated_with_malaria,0,Positive,Malaria (Positive) Malaria,10.1186_s12936-024-05238-w,FALSE,Positive,Malaria (Positive) Malaria,141
Several TB outbreaks among students have been recently reported.,leads_to,0,Positive,Tuberculosis (Positive) Tuberculosis,10.1186_s12879-020-05304-z,FALSE,Positive,Tuberculosis (Positive) Tuberculosis,63
Strong and positive,correlated_with,0,correlated with,Smoking (correlated with) Smoking,10.1186_s13011-020-00301-6,FALSE,correlated with,Smoking (correlated with) Smoking,175
The coefficient measures the change in the rate for Latino versus NL Whites (i.e. the disparity) when X changes one unit.,poverty_increases_latino_poverty,0,Negative,Poverty (Negative) Poverty,10.1371_journal.pone.0237269,FALSE,Negative,Poverty (Negative) Poverty,231
