,paper_id,data_types,methods
119,10.1186_s13071-020-04122-1,"patient-level data, clinical records, demographic data, socioeconomic data, household income data, satellite (none), survey (none)","EpiData version 4.4.3.1 data handling software, IBM SPSS Statistics for Windows, Version 25.0, Chi-square test for independence, univariate and multivariate regression analysis, multinomial logistic regression"
120,10.1186_s13071-020-04157-4,"stool samples, sociodemographic characteristics, questionnaire data, PCR results","cross-sectional study, PCR amplification, electrophoresis, univariate logistic regression, stepwise regression, multivariate logistic regression model"
121,10.1186_s13071-020-04551-y,"GPS readings, fever onset data, epidemiological curves, patient-level data, survey data","data cleaning, data analysis, regression modeling, generalized estimating equations, stepwise selection procedure"
122,10.1186_s13071-021-04913-0,"existing data, satellite data, model selection tables","model selection, prediction error heat maps, relative error map, data collection"
123,10.1186_s13071-024-06324-3,"house-level infestation data, sociodemographic variables, NDVI normalized difference vegetation index, patient-level data, survey data","quantile regressions, ordinary linear regression, descriptive statistics"
124,10.1186_s13756-021-00975-y,"sequence data, transmission data, TB infection control data, genomic data, resistance gene sequence analysis, IS6110 and polymorphic repetitive sequence typing results","systematic reviews, sequencing"
125,10.1186_s13756-024-01419-z,"demographic data, BMI data, HIV status, comorbidity data, frequency of colds, BCG scar data, history of tuberculosis, history of tuberculosis in family, relationship with the index case, degree of closeness","written informed consent, logistic regression analysis, univariate and multivariate analysis, chi-square or Fisher’s exact test, IGRA (Interferon-γ release assay)"
126,10.1186_s40001-023-01046-1,"study design, population, sample size, prevalence, risk factors, intervention, diagnostic strategy, funding information, abstracts, articles, records","data extraction process, Mendeley software, thematic analysis, review and subject experts consultation, chartered librarian consultation, duplicate removal using Mendeley software"
127,10.1186_s40249-020-00717-z,"percentage data, numerical data, rainfall data, temperature data, humidity data, case data, percentage area covered by Forests data","Principal Components Analysis (PCA), Kaiser's rule of thumb, Factor analysis, Standard normalization procedure, Equation 1 and Equation 2, Variation max standardizing method with Kaiser normalization, Geo-calculator tool, ArcMap, Spatial interpolation tools, ""Extract by Point"" tool."
128,10.1186_s40249-020-00727-x,"primary author, year of publication, study area, study design, demographic characteristics (age and sex), clinical characteristics, laboratory profiles (parasite count, haemoglobin, leucocyte count, etc.)","Data extraction, Endnote software X7, Microsoft Excel 2010, funnel plot, Newcastle-Ottawa scale, Metapro Pa Stata command"
129,10.1186_s40249-020-00732-0,"patient-level data, census data, geographical coordinates, notification data","Google Earth Pro software, spatial scanning statistical technique, scan statistics, decomposition method called Seasonal-Trend by Loess (STL), locally weighted regression, RStudio software."
130,10.1186_s40249-020-00772-6,"population data, disease surveillance data, case notification data, clinical classification data, social vulnerability indicators","join-point regression model, trend analysis, statistical treatment"
131,10.1186_s40249-020-00787-z,"patient-level data, RDT positivity data, API data, summary statistics, descriptive statistics, logistic regression data, household condition data, environmental situation data, occupation data, education level data, travel history data, malaria attack history data","data collection, data assurance, data quality check, summary and descriptive statistics, logistic regression, case-by-case basis, Microsoft Excel spreadsheet"
132,10.1186_s40249-021-00822-7,"study design, exposure, populations, study methods, outcomes, sample size, number of participants with and without the event (LTFU), raw data, statistical analysis software material","JBI-MAStARI, meta-analysis, Mantel Haenszel method, pooled odds ratio, I2 tests"
133,10.1186_s40249-022-00949-1,"national funding data, funding project data, statistical analysis data, epidemiology data, household data, demographic data, educational level data, employment data, nationality data","statistical analysis, evaluation and interpretation of data, regression analysis"
134,10.1186_s40249-023-01110-2,"study designs, odds ratios, risk ratios, highest posterior densities, age, gender, domain, sampling methods, indicators of malaria and SEP, covariates, limitations, year, ITN use, HH size, house construction, children with current fever, asset index, altitude, monthly rain, IRS use","database searches, screening review articles, electronic search, searching existing systematic reviews, reference lists, data extraction forms, full-text screening, standardized Excel spreadsheet, GEE for binary logistic regression, multivariable logistic regression."
135,10.1186_s41043-023-00345-x,"WTP elicitations, field data, transcripts, supporting documents, satellite data, patient-level data, survey data","Face-to-face interviews, ex-post elicitation, WTP elicitations, sequential mixed-methods design, larviciding pilot, surveyors, Open Data Kit Collect setup."
136,10.1186_s41043-024-00590-8,"census data, primary data, questionnaire data, sociodemographic data, health variables, demographic data, water data, fly density data, family income data, educational level data, age data","Logistic regression, sample size determination"
137,10.1186_s41043-025-00813-6,"student registration book data, survey data","Ethical approval, informed written consent, verbal assent, permission from district health officials, head of administrative, school directors and village leader."
138,10.1265_ehpm.24-00169,"socio-demographic data, clinical data, job history, questionnaire data, chest X-ray reading, logistic regression analysis data, descriptive statistics, statistical analysis data, survey data","interviews, questionnaire, face-to-face interviews, logistic regression analyses, Chi-Square test, descriptive statistics"
139,10.1265_ehpm.24-00243,"Particulate matter (PM2.5 and PM10), sulfur dioxide (SO2), nitrogen oxides (NOx), volatile organic compounds (VOCs), oxygenated compounds (O3), carbon monoxide (CO)",systematic review
140,10.1371_journal.pmed.1003042,"geospatial data, survey data, open-source data, population-based cohort data","Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Supervision, Validation, Visualization, Writing – original draft"
141,10.1371_journal.pmed.1003297,"substance use data, human trafficking data, sex work data, demographic data, sampling procedure data, depression data, research quality data","systematic review, data extraction, quality assessment using the Centre for Evidence-Based Management (CEBM) Critical Appraisal for Cross-Sectional Surveys Tool"
142,10.1371_journal.pmed.1003369,"meteorological dataset, anonymized data, hospitalization counts, daily mean temperatures, gross domestic product","Regression analysis, cross-basis function modeling, linear function, natural cubic spline, prospective analysis, observational study."
143,10.1371_journal.pntd.0008149,"survey data, questionnaire data, face-to-face interview data, tablet data, assets and livestock ownership data, education and occupation data, indicators data, KAP study data, maximum likelihood estimator (MLE) data.","Structural equation model (SEM), multiple correspondence analysis, measurement error testing, probit estimation."
144,10.1371_journal.pntd.0008393,"patient-level data, continuous variables, categorical variables, mean, standard deviation, frequencies, Kruskalwallis test results, generalized linear regression model outputs, body mass index (BMI)","Mean, standard deviation calculation, frequencies, Kruskal-Wallis test, generalized linear regression model, written informed consent."
145,10.1371_journal.pntd.0008508,"GPS positions, household data, ecological data, satellite data, elevation data, rainfall data","Geostatistical models, mixed effects logistic regression, binary infection outcome analysis, random effects for study sites and households, variable transformations, statistical modeling."
146,10.1371_journal.pntd.0008687,"paper forms, custom Access database, Excel spreadsheets, STATA format, satellite data","Cox proportional hazard regression analysis, statistical method of investigating the effect of one or more variables upon the time a specific outcome occurs, data curation, formal analysis, methodology, project administration, resources, supervision, writing – original draft, writing – review & editing."
147,10.1371_journal.pntd.0008703,"R software data, MASS package data, glm package data, Rcmdr package data, ggplot2 package data, ggpbur package data, QGis 3.10 software data, shapefiles, kernel density estimate, categorical variables, descriptive statistics, logistic regression, socio-economic status (SES) data","case-control study, multivariable logistic regression, backward/forward Akaike Information Criterion (AIC) selection, principal components analysis"
148,10.1371_journal.pntd.0008918,"seroprevalence data, entomological transmission indices, socioeconomic information, knowledge attitude and practice (KAP) variables, House Index (HI), Container Index (CI), Breteau Index (BI), Demographic Index (DI), survey data","Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing – original draft, Writing – review & editing, statistical analysis, Spearman correlation analysis, Analysis of variance (ANOVA)"
149,10.1371_journal.pntd.0009024,"satellite data, socioeconomic data, built-up data, population data, property tax scores, wealth indicators","GLMM logistic regression, multivariate analysis, univariate analysis, model simplification, GLM log-linear regression."
150,10.1371_journal.pntd.0009257,"household survey data, entomological data, blood samples from individuals, GPS coordinates","cluster study design, diagram of household enrollment and data collection, formal analysis, funding acquisition, investigation, methodology, project administration, resources, software, supervision, visualization, writing – original draft, writing – review & editing"
151,10.1371_journal.pntd.0009486,"patient-level data, geographic coordinates, prevalence data, intensity data, demographic data, geographical data, behavioural data, socioeconomic data, satellite data","Kato-Katz tests, logistic regression model, non-uniform spline interpolation, quadratic fitted values, twoway command in STATA."
152,10.1371_journal.pntd.0009679,"spatial data, relative spatial data, household-level data, person-level data, serosurvey data","unmanned aerial vehicle mapping, serosurvey data, logistic mixed regression models, vector control activities"
153,10.1371_journal.pntd.0009745,"satellite data, patient-level data, case information, address information, geo-data, socioeconomic environment variables, climatic variables","ARIMA model, BP neural network model, GAM, species ecological niche model, Maxent prediction model, principal component analysis, regression analysis, time-series analysis."
154,10.1371_journal.pone.0222399,"birth weight Z-score, gestational age, demographic data, SES data, food insecurity data","Hierarchical regression, self-initiated research grant, National Health Scholars Program, Creative Commons Attribution License."
155,10.1371_journal.pone.0225219,"employee data, questionnaire form data, database data, statistical analysis data","Conceptualization, Data curation, Formal analysis, Investigation, Methodology, Project administration, Software, Malaria screening"
156,10.1371_journal.pone.0225361,"Clinical information, imaging examination, drug susceptibility testing, sputum culture, patient-level data, survey data","data curation, formal analysis, investigation, methodology, project administration, resources, software, sputum culture, drug susceptibility testing"
157,10.1371_journal.pone.0225744,"patient-level data, demographic data, symptom data, sputum test results, radiograph data, treatment data, time-series data","data collection, data analysis, regression analysis, hazard ratio calculation, descriptive statistics"
158,10.1371_journal.pone.0231143,"demographic data, educational attainment data, employment data, religion data, area and region data, socioeconomic status data, household amenities data, health service utilization data, wealth index data, media utilization data","mixed methods study, regression analysis"
159,10.1371_journal.pone.0231737,"patient-level data, survey data, demographic data, educational data, socioeconomic status indices, satellite data (none mentioned), computational details, model fit evaluation, consent documents, project information sheet, database.","Field activities, data curation, formal analysis, programming the database, regression analysis, likelihood ratio test (LRT), written informed consent, assent, field interviews, descriptive statistics."
160,10.1371_journal.pone.0232838,"patient records, numerical data, categorical variables, frequency tables, bar charts, Z-scores, MUAC, edema","Microsoft Excel, Stata, descriptive statistics, frequency tables, bar charts, univariable and multivariable logistic regression analysis, multiple imputation by chained equations, robust standard errors."
161,10.1371_journal.pone.0234399,"surveys, participant data, population densities, elevations, SES index, eigenvector coefficients","Conceptualization, data curation, formal analysis, funding acquisition, investigation, methodology, project administration, resources"
162,10.1371_journal.pone.0236247,"qualitative study data, open access article data, publicly accessible Texas Data Repository data, survey data","qualitative study, syndemics framework"
163,10.1371_journal.pone.0237269,"population estimates, survey data, AtlasPlus data, American Fact Finder data, 5-year estimates, CDC data","multiple regression models, data availability statement"
164,10.1371_journal.pone.0237633,"behavioral data, health data, demographic data, socioeconomic data, blood samples for HIV testing","Investigation, Methodology, Resources, Supervision"
165,10.1371_journal.pone.0237649,"patient-level data, survey data, IgG-capture BED-enzyme immunoassay data, demographic data, behavioral variables data, questionnaire data","self-administered risk factor survey, computer-based program, χ2 or Fisher's exact test, student's t-test, univariate analysis, multiple logistic regression model"
166,10.1371_journal.pone.0244563,"survey data, binary variables, continuous measures, blood test results","Bayesian estimation, regression analysis, simultaneous modeling"
167,10.1371_journal.pone.0246192,"HIV survey data, questionnaire items, demographic data, socioeconomic data, household income data, domestic and dyadic characteristics","univariate ordinal logistic regressions, principal components analysis (PCA)"
168,10.1371_journal.pone.0246671,"household indicators, satellite data, patient-level data, survey data, Verbal autopsy (VA) interview, docket data","Principal components analysis, Stata 15, Fisher's exact test, InterVA-5 model."
169,10.1371_journal.pone.0249465,"study authors, publication year, study period, study design, study location, sample size, the relevant research question the paper or report addressed, Excel file, MeSH terms, free text terms, Boolean connectors","manual removal of duplicates, independent screening of publication titles and abstracts, standardized form for data extraction, thematic categorization of results"
170,10.1371_journal.pone.0249864,"patient-level data, satellite data, survey data","study design, data collection and analysis, decision to publish, or preparation of the manuscript, collaboration of all patients, medical and nursery staff and data managers, fieldwork data management and analysis."
171,10.1371_journal.pone.0250045,"Demographic data, categorical variables, continuous variables, frequencies, proportions, medians, chi square data, coordinates, picture data, sleeping structure data","structured survey tool, data collection using smartphone application and web-based database platform, household location coordinates captured, picture taken to confirm accuracy of reporting, sleeping structures inspected, field data collection by district and commune health officers and NIMPE personnel."
172,10.1371_journal.pone.0250550,"interview data, biomarker testing data, survey data","interviews, biomarker testing, chi-square automatic interaction detector (CHAID) model"
173,10.1371_journal.pone.0253746,"study design data, frequency data, sample size data, publication year data, region data","Search, literature search using MeSH and text words, data extraction with JBI MAStARI, statistical analysis with Stata version 14.0, heterogeneity test with I-Squared (I2), cross-checking of extracted data, contact with corresponding authors for further information."
174,10.1371_journal.pone.0256121,"patient-level data, physical parameters, questionnaire data, spirometry data","EPI-DATA software (version 3.1), STATA (version 12.0), logistic regression analysis, t-tests, Wilcoxon rank sum tests, chi-square test, spirometry."
175,10.1371_journal.pone.0256534,"point data, polygon data, census tracts database, spatial analysis tools, GIS data, R language packages, binary data, cartographic street map, canine data, household data, temperature data, precipitation data, vegetation data, water bodies data","Collecting samples, guardian's survey, analyzing samples, mapping samples, changing scale, applying statistical models, performing thematic maps, preparing data for spatial model, preparing training data for spatial model, validation of models."
176,10.1371_journal.pone.0257906,"Interview transcripts, quotes","Manual transcription, coding and analysis in Bahasa, thematic framework analysis, indexing, open coding, team-based analysis and discussion, iterative process of checking and rechecking transcripts against translated interpretations, framework analysis."
177,10.1371_journal.pone.0258915,"ecological covariates, socio-demographic covariates, infection prevalence and intensity, statistical predictor","conceptualization, data curation, formal analysis, regression analysis, likeliho od ratio tests, precision mapping"
178,10.1371_journal.pone.0284032,"panel data, XLSX data, DO file data, recorded live births reports, annual General Household Surveys, Subnational Human Development Database","Regression analysis, econometric analysis"
179,10.1371_journal.pone.0285533,"study design, prevalence, risk factors, challenges, authors, year of publication, countries, research information","data extraction, narrative approach, PRISMA-based flow diagram, Mixed-Meth od Appraisal Tool (MMAT), manual and electronic search using databases"
180,10.1371_journal.pone.0301311,"transcripts, audio recordings, verbatim transcripts, thematic framework, codebook, matrix data","framework method, deductive and inductive coding, thematic analysis, charting, matrix creation, systematic coding"
181,10.1371_journal.pone.0308271,"anonymous secondary sources, census data, temperature data","analysis of anonymous secondary data, modeling"
182,10.1503_cjs.005614,"computed tomography scans, patient-level data, satellite data, binary logistic regression","statistical technique, regression analysis, independent sample t tests, multivariate binary logistic regression"
183,10.1590_2237-6089-2018-0081,"patient-level data, semi-structured interview protocol data, rapid test results for syphilis, HIV and HCV, sociodemographic characteristics, age data, education data, housing status data, primary drug problem data, suicidal ideation data, psychotic symptoms data, safer sex practice data","manual data entry into Excel, double-checking procedure conducted by two members of the research staff, semi-structured interview protocol administered by CRATOD staff, rapid testing services for blood borne viruses and STI."
184,10.2196_40659,"case reports, registered case data, ecological information, population data, statistical yearbook data","stepwise regression, linear regression, multivariate time series analysis, ARIMA model, multiple regression, Poisson regression, Lasso regression, random effect model, Panel regression."
185,10.3201_eid2603.191314,"sequence data, genetic data, genomic data, SNP data, sequence alignment/map format data","Cox frailty proportional hazards model, Kaplan-Meier survival curves, regression analysis, sensitivity analyses, exclusion of household contacts with co-prevalent TB or undiagnosed TB."
186,10.3389_fpubh.2021.691006,"survey data, patient-level data, genomic data","complete enumeration survey data collection, Chi-squared test"
187,10.3389_fpubh.2022.832624,"self-reported questionnaires, HIV infection records, satellite data, patient-level data, survey data","study design, Institutional Review Board review and approval, written informed consent from participants, data collection, data interpretation, article preparation"
188,10.3389_fpubh.2024.1376235,"Survey data, secondary data","Conceptualization, Data curation, Formal analysis, Funding acquisition, Investigation, Methodology, Project administration, Resources, Software, Supervision, Validation, Visualization, Writing – review & editing."
189,10.3389_fpubh.2024.1503884,"Secondary cross-sectional data, publicly available datasets, longitudinal study data","Statistical Software Suite (SAS), multiple imputation by chained equations, bivariate method, iterative process that starts by imputing every missing value with random draws from the data."
190,10.3389_fpubh.2025.1427319,"statistical yearbook data, demographic data, health data, financial data","spatiotemporal Bayesian model, estimation, imputation by linear interpolation"
191,10.3389_fpubh.2025.1591552,"epidemiological data, demographic data, quantitative variables, qualitative variables","Pearson chi-squared test, Mann–Whitney U test, Generalized Estimating Equations (GEE), regression analysis."
192,10.3906_sag-2006-140,"quantitative variables, categorical variables, continuous variables, self-report data, survey data","IBM SPSS for Windows 21.0, Kolmogorov-Smirnov test, Mann-Whitney U or Kruskal-Wallis tests, χ² test or Fisher exact test, Spearman rank test, backward stepwise logistic regression procedure, Chronbach alpha test"
193,10.4081_gh.2020.819,"patient-level data, survey data, geographic data","Principal Component Analysis (PCA), regression analysis, Principal Component Analysis"
194,10.4081_gh.2024.1285,"Rainfall data, temperature data, average annual income data, proportion of households not using preventive measures data","expert opinion, min-max method, literature-based justifications"
195,10.5365_wpsar.2018.9.1.005,"patient-level data, self-reported data, smoking habits, drinking habits, body weight, height, diabetes diagnosis, signs and symptoms, chest X-ray screening history, attendance at medical facilities, BMI","data collection for PTB patients, structured patient cards, self-reported smoking and drinking habits, physician-diagnosed diabetes mellitus, body weight and height measurement, exclusion of incomplete data sets, univariable analysis, backward stepwise method, multivariable analysis."
196,10.5644_ama2006-124.296,"patient-level data, mortality data, study data, report data, data on asthma prevalence and severity, data from the Global Asthma Network, disease data",prediction tools
197,https___doi.org_10.1007_978-3-642-17776-7_2,"GDP, HDI, debt, inflation, unemployment, arable land, urban population, percentage of agriculture's dependency for GDP, number of radios, GLASOD, demographic data, mortality rate of under five year olds, physicians, hospital beds, life expectancy, calorie supply per person, access to sanitation, safe water, population growth, urban growth, population density, age dependency ratio","prognoses, projections, estimates of probabilities, qualitative methods, regional assessments."
198,https___doi.org_10.1007_s00148-022-00924-y,"country-level data, annual data, imputed migration data, climate data at the grid-cell-level, temperature data, precipitation data, ground frost frequency, cloud cover, potential evapotranspiration, value added in agriculture, urban–rural access to public goods","first-difference operator, panel cointegration test, Augmented Dicker-Fuller t-statistic, Phillip-Perron t-statistic, regression analysis, Driscoll-Kraay standard errors"
199,https___doi.org_10.1007_s00181-023-02460-4,"Global hectares per capita, kWh per capita, years, % of GDP, Constant 2010 US$, % of the total population","Canonical cointegrating regression, Cumulative sum, Durbin–Watson, Ecological footprint, Elliott–Jansson, Elliott–Müller, Feasible generalized least squares, Fixed effects, Fully modiﬁed ordinary least squares, Generalized method of moments, Granger causality, Heteroskedasticity and autocorrelation consistent, Least squares dummy variable corrected, Long short term memory, Panel VAR, Threshold regressions."
200,https___doi.org_10.1007_s10113-014-0688-7,"Statistics data, demographic and socioeconomic statistics, climate data, gridded daily datasets, probabilistic projections","literature review, data refinement, web-based tool development, stakeholder-orientated evaluation"
201,https___doi.org_10.1007_s10584-020-02692-8,"EMDA T data, DesInventar data, Munich Re/Swiss Re estimates, flood depths data, monetary units, life-years lost data, public database","macroeconometric study, regression analysis"
202,https___doi.org_10.1007_s10584-021-03226-6,"physical knowledge, uncertainty levels, error bars, precipitation changes, data","Jeffreys' approach to statistics, physical reasoning"
203,https___doi.org_10.1007_s10680-012-9277-y,"aggregate data, micro-data, survey data","review, regression analysis"
204,https___doi.org_10.1007_s11111-013-0201-0,"DHS data, household-level data, economic activities data, crop choice data, agricultural production data, income and expenditures data, geolocator information, remote sensing variables, discrete variables, continuous variables","multi-level modeling, linear regressions, seemingly unrelated regression (SUR) models, random effects models, regressions with varying intercepts, hierarchical models"
205,https___doi.org_10.1007_s11912-016-0539-4,"BMI data, EQD data, prospective cohort study data, meta-analysis data, cancer diagnosis data, diabetes data, cardiovascular disease data, body composition data","prospective cohort study, meta-analysis, longitudinal data, repeated weight measurements, equations-derived approach, counter-factual framework"
206,https___doi.org_10.1007_s12571-019-00968-1,"abstracts, keywords, references, article titles, regression data, panel data, conceptual data, analytical data, empirical data, instrumental variable regression data, cross-sectional data, principal component analysis data, structural equation modelling data, machine learning data.","systematic literature search, Boolean operators, title abstract and keywords search, disciplinary focus restriction, reference checking, first screening process, snowball in-document reference selection"
207,https___doi.org_10.1007_s40641-018-0089-y,"model output, observations, satellite data, geological data, statistical data, temperature records, surface temperature data","Newtonian approach, statistical emulators, heuristic models, dynamical system models, regression analysis, time-series analysis, differential equation models"
208,https___doi.org_10.1007_s42452-020-03705-y,"World Bank database, UNCTAD database, time-series data","FMOLS, DOLS, wavelet coherence, econophysics, panel cointegration, Westerlund error correction"
209,https___doi.org_10.1016_j.annals.2012.05.023,"secondary data, primary data, time series econometrics data, satellite accounts data","I-O method, computable general equilibrium (CGE) frameworks, Keynesian multipliers, tourism satellite accounts (TSAs), modern time series econometrics, intervention models, combined with outlier detection, data envelopment analysis (DEA), Malmquist Index, bootstrap approach, OLS method, two-limit Tobit model."
210,https___doi.org_10.1016_j.apr.2017.06.004,"air pollution data, traffic volume data, socio-economic factors, weather conditions, household income data, age data, binary variable (teleworking)","fixed effects, regression analysis, 2SLS method, trend analysis, econometric time-series model"
211,https___doi.org_10.1016_j.earscirev.2009.05.001,"Soil factor variables, continuous data, numeric data, magnetic values, text, tables, box plots, percentiles","post hoc tests, t-tests, correlation coefficients, coefficient of determination, multiple regression models, standard multiple regression models, simultaneous multiple regression, zero order, partial and part correlations."
212,https___doi.org_10.1016_j.ecolecon.2016.08.008,"knowledge, information, state, assets, context, need","protocol for guiding the development of the decision model, ODD + D, mapping and comparing behavioural theories in models of social-ecological systems"
213,https___doi.org_10.1016_j.techfore.2020.120255,"GDP data, R&D expenditures, emissions data, energy consumption data, broad money data, population data","Regression analysis, long-run analysis, FMOLS, CCR, OLS, VECM Granger causality, impulse response functions, variance decomposition, generalized forecast error variance decomposition, vector auto-regression (VAR) system."
214,https___doi.org_10.1017_9781009157926.005,"CO2 emissions, cumulative CO2, energy use, bioenergy, nuclear energy, population, GDP, input data, scenario data","Geels et al. 2016a, Weyant 2017, Gambhir et al. 2019, Beck and Mahony 2017, 2018, Robertson 2020, Riahi et al. 2012, UN 2019, OECD 2021, IEA 2019, FAO 2018, Clarke et al. 2014, Rogelj et al. 2018a, Allen et al. 2018, Turnheim et al. 2015, Trutnevyte et al. 2019a, Hirt et al. 2020"
215,https___doi.org_10.1017_9781316651148,"ACS data, population data, poverty data, unemployment data, social security income data, extractive sector employment data, service sector employment data, PCA components, median rent data, median home value data","Principal Components Analysis (PCA), Factor Analysis (FA), Min-Max scaling scheme, correlation analysis."
216,https___doi.org_10.1017_s0140525x11000446,"Brain regions, psychological variables, mental states, stimulus types, method types, patient data","meta-analysis, logistic regression"
217,https___doi.org_10.1038_s41467-018-05256-8,"satellite data, surface temperature data, wind speed data, gridded daily dataset, R statistical software data","idealized atmosphere models, machine learning approaches, causal discovery algorithms, observations in climate models"
218,https___doi.org_10.1038_s41467-019-10105-3,"temperature, categorical data, time series, index, sensor data, measurement values","correlation, univariate regression, causal inference methods, pairwise network, model evaluation based on causal statistics, interventional experiments, observational causal inference from time series, regression analysis, time-series analysis"
219,https___doi.org_10.1038_s41467-022-28283-y,"reanalysis data, sea ice extent data, temperature data, pressure data, atmospheric circulation data","correlation, regression, ensemble regression approach, reanalysis data, Pearson correlation, linearly related variability, variance explained by squared correlation, constrained estimate of zonal wind response."
220,https___doi.org_10.1038_s41558-022-01401-w,"census data, IPUMS data, survey data, migration flows data, population projections","Regression analysis, docket studies, IAM modeling, time-series analysis."
221,https___doi.org_10.1038_s41598-017-07058-2,"GLDAS data, NASA's Earth Science Division data, Ferret program data, QGIS software data","PCR-GLOBWB simulations, background analyses, statistical analyses, trend analysis, filter, first order Bayesian vector auto-regression (VAR) analysis, test for Granger causality, best practice parameter (BP), GRACE TWS anomaly estimates error analysis."
222,https___doi.org_10.1038_s43017-023-00450-9,"water quality data, satellite-based observations, time series data","theory-guided data science, physics guided machine learning, process-based modeling, controlled experiments, regression analysis, time-series analysis, differential equation models"
223,https___doi.org_10.1051_swsc_2017034,"ice core measurements, temperature proxies, historical records, instrumental record","ice core measurements, climate simulators, physical and chemical equations, time-series analysis"
224,https___doi.org_10.1068_d11512,"book excerpts, article excerpts, research paper, conference proceedings, online article","Experimental design, subjectivity, reading and writing, theoretical discourse."
225,https___doi.org_10.1088_1748-9326_11_7_074004,"SST, air temperature, geopotential height, zonal wind speed, net air-sea heat flux, 2 m maximum air temperature, ocean heat content, temperature profiles.","NCEP-NCAR reanalysis, ERA-Interim reanalysis, National Oceanographic Data Center 0–700 m product, World Ocean Database, Roemmich and Gilson Argo climatology."
226,https___doi.org_10.1101_2024.03.20.24304533,"Educational Attainment data, years-of-education data, GWAS data, sample size data, exome sequencing data, cardiovascular traits data, PTSD data","Genomic SEM framework, MR-Egger test, Steiger analysis, MR-PRESSO, GWAS, IVW estimate, cross-trait LDSC, bidirectional MR, multivariable MR (MVMR)"
227,https___doi.org_10.1109_msp.2018.2890143,"fMRI dataset, Uber pick-up data, temperature observations, brain activity signals","kernel-based predictors, mutual information, linear prediction, partial correlations, dynamic-SEM estimator, inference of nontrivial pairwise interactions"
228,https___doi.org_10.1111_2041-210x.13190,"regression analysis data, wolf abundance data, moose abundance data, bird abundance data","Regression Analysis, SCM, SEM, PO"
229,https___doi.org_10.1111_risa.13128,"Risk analysis, none","Figure drawing, inventory of past events"
230,https___doi.org_10.1162_002081802320005522,"DEMOC data, KFLOW data, SKILL data, SURP data, DEPEN data, GDP data, SOE data, DEBT data, TRADE data, WELF data, ISIC I categories, SITC2 categories","pooling cross-section and time-series data, regression analysis, logarithmic transformation"
231,https___doi.org_10.1175_jcli-d-24-0092.1,"SSTA, observations, time series data, model simulations","physics-informed auto-learning framework, causal inference, maximum likelihood, analytic formulas"
232,https___doi.org_10.1177_0022343311426167,"FDI inflow relative to GDP, FDI outflow relative to GDP, Inflation, Population size, Democracy index, Climate-related disasters (floods, storms)","Regression analysis, two-way error component model, time weights, dummy variables, panel data analysis"
233,https___doi.org_10.1186_s40878-020-00210-4,"contextualized data, historical data, social phenomena, empirical analysis, predictor variables, conceptual tools","Amartya Sen's capabilities approach, Kuhnian argument, Popperian falsification principle"
234,https___doi.org_10.12942_lrsp-2007-2,"instrument-based temperature series, proxy data, surface temperature observations, measurements","multiple regression analysis, pattern-matching, simple linear regression"
235,https___doi.org_10.1371_journal.pone.0063717,"dengue incidence data, meteorological data, demographic data","time series analysis, vector autoregressive process, Granger causality test, generalized impulse response analysis"
236,https___doi.org_10.1371_journal.pone.0119616,"demographic data, medical history, cognitive capacity and hearing data, computerised assessment data, lifestyle data, environmental data, survey data","structural equation modelling, robust weighted least squares (WLSMV), probit regression coefficients"
237,https___doi.org_10.1371_journal.pone.0217148,"precipitation, temperature, seed data, crop data, yield data, government-reported data","data curation, formal analysis, investigation, methodology, project administration, resources, regression model"
238,https___doi.org_10.17528_cifor_000341,"tables, regression models, input-output models","input-output models, analytical and computational simplicity of the approach"
239,https___doi.org_10.17528_cifor_001892,"weather station data, instrumental data, lake levels, ice cover, sea level, air photos, maps, time lines, soil and vegetation surveys, population census data, risk assessment, SWOT analysis, household and individual asset surveys, seasonal calendars, livelihood diagrams, ranking of assets, resource mapping, Venn diagrams, institutional histories, flow charts, key informant interviews, actor-network analysis, social mapping, stakeholder analysis, statistics, income and expenditure interviews and ranking","Deﬁne the current land uses according to IPCC deﬁnitions, Deﬁne the forestry activities with the highest potential for mitigation, Based on existing information identify the most likely impacts of and vulnerabilities to climate change, Deﬁne potential activities/measures that could reduce vulnerability to climate change, Adjust mitigation activities, cartographic DEMs, MarkSim, Disaggregate analysis."
240,https___doi.org_10.3386_w10191,"MSA data, Census data, County and City Data Books, FBI data, NCES Common Core of Data, Museums County Business Patterns data, County Business Patterns data, US Patent and Trademark Office data.","Regression analysis, data aggregation, county-by-county analysis, statistical significance testing, Shapiro's methodology, Roback's framework, Glaeser et al.'s framework"
241,https___doi.org_10.3386_w12735,"UN data, GDP per capita, life expectancy, infant mortality rate, child mortality rate, real per capita GDP: PPP, macro data, Penn World Table version 6.2, World Development Indicators","Regression analysis, instrumental variables"
242,https___doi.org_10.3386_w13987,"patient-level data, survey data, maternal reports, registry data sets, blood tests","Regression analysis, ordinary least squares, sibling fixed effects, survey data, production function modeling, dynamic modeling."
243,https___doi.org_10.3386_w14031,"Lung capacity readings, anthropometric measures, rainfall data, satellite data, patient-level data, survey data","Regression analysis, instrumental variables estimates, fixed effects, principal component analysis"
