,paper_id,cause,effect,description,effect_polarity,edge_label
203,10.1371_journal.pntd.0008149,Disease knowledge,Demand for prevention,A one-unit increase in disease knowledge increased the demand for prevention by 0.84 unit for malaria and dengue.,Positive,increases_demand_for_prevention
204,10.1371_journal.pntd.0008393,Comorbidities,Wound healing,Comorbidities negatively impact wound healing.,Negative,affects_wound_healing
206,10.1371_journal.pntd.0008508,Elevation,Schistosomiasis,The reported odds ratios (ORs) correspond to an increase of 100 m for elevation...,Positive,elevation_associated_with_infection
207,10.1371_journal.pntd.0008508,Annual rainfall,Schistosomiasis,The reported odds ratios (ORs) correspond to an increase of 100 mm for annual rainfall...,Positive,annual_rainfall_associated_with_infection
209,10.1371_journal.pntd.0008703,Farming being the main source of income,Dengue,Farming being the main source of income is associated with dengue risk on a subset of the dataset.,Unknown,farming_associated_with_dengue_risk
210,10.1371_journal.pntd.0008703,Eaves gaps in households,Types of vector control activities,"Households with or without eaves gaps in northeastern Thailand differ significantly in types of vector control activities, June 2016 and August 2019.",Negative,differs_in_vector_control_activities
212,10.1371_journal.pntd.0009024,Age group,IgG positivity,No association between age group and IgG positivity.,Unknown,no_association_age_group_igG_positive
213,10.1371_journal.pntd.0009024,Socio-economic variables,Anti-DENV IgG seropositivity,No socio-economic variables were associated with anti-DENV IgG seropositivity.,Negative,has_no_association_se_vars_anti_denv_igg
215,10.1371_journal.pntd.0009486,Health districts,living in certain health districts,"Participants living in certain health districts, were significantly associated with S. mansoni infection.",Positive,associated_with_infection
216,10.1371_journal.pntd.0009486,Age,Schistosomiasis,"To explore the relationship between S. mansoni infection risk and age,",Unknown,is_related_to
217,10.1371_journal.pntd.0009679,Vector control activities,Increased community participation,Implementation of vector control activities increases community participation.,Positive,increases_community_participation
218,10.1371_journal.pntd.0009679,Dengue,Dengue,Dengue status is associated with risk factors for symptomatic dengue.,Unknown,is_associated_with
219,10.1371_journal.pntd.0009679,Vegetation index,Disease risk,Vegetation index is associated with disease risk.,Positive,is_associated_with
220,10.1371_journal.pntd.0009745,GDP,DF cases,The DF cases were strongly associated with GDP.,Positive,correlates_with_disease_outbreaks
221,10.1371_journal.pntd.0009745,Road density,DF cases,The DF cases were strongly associated with road density.,Positive,correlates_with_disease_outbreaks
222,10.1371_journal.pntd.0009745,Population density,DF cases,The DF cases were strongly associated with population density.,Positive,correlates_with_disease_outbreaks
223,10.1371_journal.pone.0225744,Tuberculosis,No LTBI,Treatment of latent tuberculosis infection (LTBI) is effective for preventing progression to active TB.,Positive,prevents_TB_progression
225,10.1371_journal.pone.0225744,Having a spouse with Tuberculosis,Tuberculosis,Marrying someone with TB increases the risk of developing LTBI if not treated.,Positive,increases_LTBI_risk
226,10.1371_journal.pone.0231143,mother's wealth category,mother's utilization of health services during and after her last pregnancy,being HIV-exposed in a child,Negative,lowers_HIV_exposure
227,10.1371_journal.pone.0231737,ever given birth,Experience of violence among girls aged 10–14 years,The experience of violence is associated with having ever given birth.,Negative,associated_with_violence
228,10.1371_journal.pone.0232838,Anemia,Increased mortality,"Children with anemia are challenging to healthcare workers, and result in poor treatment outcomes.",Negative,increases_mortality
229,10.1371_journal.pone.0236247,Discrimination at job,Unemployment,She was fired because she could no longer work due to her injury.,Negative,fired_due_to_injury
230,10.1371_journal.pone.0236247,Injury on the job,Unemployment,She was fired because she could no longer work due to her injury.,Negative,fired_due_to_injury
231,10.1371_journal.pone.0237269,Poverty,Poverty,The coefficient measures the change in the rate for Latino versus NL Whites (i.e. the disparity) when X changes one unit.,Negative,poverty_increases_latino_poverty
235,10.1371_journal.pone.0237649,Occupation,Student,Increased risk of HIV infection among students.,Negative,occupation_affects_hiv_infection
236,10.1371_journal.pone.0244563,Have electricity,Testing positive,Subjects who have electricity are more likely to test positive for HIV.,Positive,test_positive
237,10.1371_journal.pone.0244563,Islam,Some knowledge of the disease,The presence of Islam is associated with increased knowledge about the disease.,Positive,knowledge_of_disease
238,10.1371_journal.pone.0244563,Had a job currently or had a job in past year,Testing positive,Having a job is positively correlated with testing positive for HIV.,Positive,test_positive
239,10.1371_journal.pone.0246671,Mother death,Child survival,The timing of a mother's death and child survival may be due to the shared environment or other common risk factors.,Unknown,timing_may_influence_survival
240,10.1371_journal.pone.0246671,Holdings SES variation,Main finding,We computed the household wealth index by summarizing the common set of household assets. We used this index as a time-varying covariate to determine if SES variation explained our main finding.,Positive,explains_main_finding
242,10.1371_journal.pone.0249864,time-period (2004–2008),risk factors for LP and LPAD had changed over time,The risk factors for LP and LPAD had changed over time,Positive,leads_to_changes_in_risk_factors
243,10.1371_journal.pone.0250045,Slept on farm,Malaria prevention knowledge,No other competing interests are declared.,Negative,no_effect_on_malari a_prevention
245,10.1371_journal.pone.0258915,Children,Age-related infection risk,Infection prevalence being 13.2% higher in children compared to adults.,Negative,increases_infection
246,10.1371_journal.pone.0284032,Under-five mortality rate,Fertility,Some studies find that a decrease in under-five mortality is associated with a decline in fertility.,Positive,declines_fertility
247,10.1371_journal.pone.0284032,No statistically significant relationship between under-five mortality and fertility,Fertility,Some studies find no statistically significant relation-ship between under-five mortality and fertility.,Unknown,no_significant_relationship
248,10.1371_journal.pone.0301311,Applying the thematic framework to all transcripts,Organized codes reflecting prominent themes within the dataset,The thematic framework was systematically applied to all transcripts and organized codes which were valuable for organizing the research question into categories.,Positive,organizes_codes_reflecting_prominent_themes
249,10.1371_journal.pone.0308271,Minimum yearly temperature,Dengue,Rising temperatures increase dengue risk.,Positive,increases_dengue_risk
250,10.1371_journal.pone.0308271,Population density,Dengue,An increase of one standard deviation in population density decreased the risk of dengue fever incidence by a factor of 0.72.,Negative,decreases_dengue_risk
251,10.1371_journal.pone.0308271,% Mayan population,Dengue,An increase of one standard deviation in % Mayan population decreased the risk of dengue fever incidence by a factor of 0.52.,Negative,decreases_dengue_risk
252,10.21149_11984,Age >60 years,Death,Una edad >60 años era factor de riesgo para la progresión (B2b).,Negative,ages_associated_with_severe_outcome
253,10.21149_11984,Deterioro cognitivo y síntomas depresivos,Fragility of health status,"Los cambios relacionados con la edad, como la desnutrición, el deterioro cognitivo y los síntomas depresivos, interactúan en varios niveles y conducen a una mayor fragilidad de su estado de salud (D5).",Positive,deterioration_leads_to_fragility
254,10.21149_11984,Enfermedad pulmonar crónica,COVID-19,"La enfermedad pulmonar crónica (EPOC) mostró un aumento de cuatro veces el riesgo de desarrollar Covid-19 severo (OR 4.38, IC95% 2.34-8.20).",Positive,EPOC_increases_severe_covid_risk
259,10.3201_eid2603.191314,Household exposure to Beijing strains,TST-positive,children <5 years of age who had household exposure to Beijing strains were 1.5 times more likely than those exposed to other strains to be TST-positive at baseline,Positive,beijing_strain_exposure_tst_positive
260,10.3201_eid2603.191314,Household exposure to Beijing lineage,Tuberculosis,Beijing lineage–exposed contacts were 7 times more likely than those exposed to the M. africanum lineage to progress to TB after 2 years of follow-up,Positive,beijing_lineage_exposure_tb_progression
261,10.3389_fpubh.2021.691006,Year of death,Tuberculosis,"A decreasing trend in the percentage of deaths from TB was observed among patients with singles (55.1%, n = 12,115), while a decreasing trend in the percentage of deaths from TB was observed among patients with",Negative,decreases_TB_mortality
262,10.3389_fpubh.2021.691006,Marital status,Tuberculosis,"A decreasing trend in the percentage of deaths from TB was observed among married patients (47.7%, n = 9,853), while a decreasing trend in the percentage of deaths from TB was observed among single patients (52.3%)",Negative,decreases_TB_mortality
263,10.3389_fpubh.2021.691006,Occupation,Tuberculosis,"A higher percentage of deaths from TB was observed among students, homemakers, and unemployed individuals (76.5%, n = 16,802)",Positive,increases_TB_mortality
264,10.3389_fpubh.2022.832624,Age,Older PLWH in SA group,There was a statistically signiﬁcant age diﬀerence among the three groups. The PLWH in the SA group were older than those in the SI or NSB groups.,Positive,olders_plwh_sa_group
265,10.3389_fpubh.2024.1376235,Media exposure,Heard about HIV,Women’s education and wealth index,Positive,media_exposure_and_hiv_knowledge
269,10.3389_fpubh.2024.1503884,Mother's education level,Anemia,Mothers with higher education have lower rates of anemia.,Positive,anemia_status
270,10.3389_fpubh.2024.1503884,Electricity,Anemia,Households without electricity have higher rates of anemia.,Negative,anemia_status
271,10.3389_fpubh.2025.1427319,Establishment of a special fund for leprosy,More stable association results,The establishment of a special fund for leprosy in 2004 and the outbreak of COVID-19 at the end of 2019 may have resulted in great heterogeneous associations between socioeconomic factors and leprosy risk.,Negative,limits_associations
272,10.3906_sag-2006-140,Have a psychiatric disorder,Anxiety,Individuals with psychiatric disorders may experience increased anxiety during the COVID-19 pandemic.,Positive,anxiety_related_to_psychiatric_disorder
273,10.3906_sag-2006-140,HIV,Anxiety,The fear of acquiring COVID-19 and experiencing additional complications due to HIV+ status may contribute to increased anxiety in individuals with HIV.,Positive,fear_of_complications_contributes_to_anxiety
274,10.4081_gh.2020.819,Poverty,Malaria,Family poverty has proven to be a major factor in childhood deaths attributed to malaria.,Positive,major_factor_in_childhood_deaths
275,10.4081_gh.2024.1285,Rainfall reduction,Impact on larval breeding sites,A reduction in rainfall could potentially impact larval breeding sites.,Negative,reduces_larval_breeding_sites
276,10.47205_jdss.2021(2-iv)74,Lack of sustained water policy,treatment capacity is insufficient,Water sharing formula has not been effectively implemented due to lack of sustained water policy.,Negative,impedes_effective_implementation
277,10.47205_jdss.2021(2-iv)74,Treatment capacity is insufficient,socioeconomic and agricultural crises,Insufficient treatment capacity leads to socioeconomic and agricultural crises.,Positive,socioeconomic_and_agricultural_crisis
278,10.47205_jdss.2021(2-iv)74,Distrust among the working institutions of the provinces,number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition,Distrust among the working institutions of the provinces leads to number of political and racist movements gaining strength.,Positive,leads_to_political_movement_strength
279,10.47205_jdss.2021(2-iv)74,Number of political and racist movements getting a strong point of interest and added authority to the opinion of the opposition,atmosphere of hatred among the people,Number of political and racist movements gaining strength creates an atmosphere of hatred among the people.,Negative,creates_hateful_atmosphere
280,10.5365_wpsar.2018.9.1.005,Malnutrition,impairs cell-mediated immunity,Malnutrition impairs cell-mediated immunity.,Positive,impairs_cell_mediated_immunity
281,10.5644_ama2006-124.296,Extreme social inequalities,Low education,Extreme social inequaliti...,Negative,social_inequalities_impacts_health_education
283,10.47205_jdss.2021(2-iv)74,lack of sustained water policy,Treatment capacity is insufficient,None of the forums have been effective in handling water concerns due to lack of sustained water policy.,Negative,handles_water_concerns_unsuccessfully
284,10.47205_jdss.2021(2-iv)74,insufficient treatment capacity,Interprovincial relations are affected,Lack of sufficient treatment capacity affects interprovincial relations in many ways.,Negative,affects_interprovincial_relations
285,10.47205_jdss.2021(2-iv)74,"presence of accords, treaties and formulas",Water sharing issue remains persistent,Absence of effective implementation of water sharing formula leads to persistence of the issue.,Negative,leads_to_persistence
286,https___doi.org_10.1007_978-3-642-17776-7_2,Climate change,sea level rise,"creeping, long-term",Negative,sea_level_rise
287,https___doi.org_10.1007_978-3-642-17776-7_2,Droughts and weather extremes,storms,-hazards and risks to human life and property-,Negative,hurricanes_storms
288,https___doi.org_10.1007_978-3-642-17776-7_2,Climate change,Vulnerability,"the degree to which a system is susceptible to, or unable to cope with, adverse effects of climate change",Unknown,vulnerability
289,https___doi.org_10.1007_978-3-642-17776-7_2,Droughts and weather extremes,floods,vulnerable flood-prone areas,Negative,flood_prone_areas
290,https___doi.org_10.1007_s00181-023-02460-4,Desertiﬁcation,Increase in political violence,The relationship between political violence and inequality becomes even stronger in the face of a rapid deterioration of the situation,Negative,increases_political_violence
294,https___doi.org_10.1007_s10584-021-03226-6,Barents-Kara sea-ice loss,changes in the strength of the stratospheric polar vortex,Barents-Kara sea-ice loss is linked to changes in the strength of the stratospheric polar vortex.,Unknown,linked_to_polar_vortex
295,https___doi.org_10.1007_s10680-012-9277-y,Aspirations_Reduced_Parenthood,Fertility_Reduction,"Aspirations are high, parenthood will be reduced or at least postponed. This is in line with findings that show a negative effect of employed mothers (compared to non-employed ones) on the age of first birth of their offspring (Barber 2000).",Negative,parenthood_reduction
296,https___doi.org_10.1007_s10680-012-9277-y,Parents_Religiosity,Children_Fertility,Parents’ religiosity is positively associated with their children’s fertility (Rijken and Liefbroer 2009).,Positive,religiosity_association
297,https___doi.org_10.1007_s10680-012-9277-y,Partnership,Childbearing,"Being in a partnership resulting in a higher likelihood of childbearing. The comparison between cohabitation and marriage, with similar approaches based on simultaneous hazard equations, is the focus of Baiza ´n et al. (2003 for Spain; 2004 for Sweden and Germany), Le Goff (2002) for France and West Germany, Steele et al. (2005, 2006)",Positive,partnership_childbearing
298,https___doi.org_10.1007_s10680-012-9277-y,Employed_Mothers,Age_of_First_Birth,A negative effect of employed mothers (compared to non-employed ones) on the age of first birth of their offspring (Barber 2000).,Negative,employed_mothers_age_birth
299,https___doi.org_10.1007_s11111-013-0201-0,Climate-related degradation of pastures,Collapse of pastoral ecosystems,Climate-related degradation of pastures can cause collapse of pastoral ecosystems.,Negative,collapses_pastoral_ecosystems
300,https___doi.org_10.1007_s11111-013-0201-0,Weather shocks,Low income,Weather shocks can cause widespread loss of income for the households who own them.,Negative,widens_loss_income
301,https___doi.org_10.1007_s11111-013-0201-0,Climate-related degradation of pastures,Loss of income-generating resources from livestock,Reliance on protein and income-generating resources from livestock mean that severe weather shocks can cause loss of these resources.,Negative,loses_income_generating_resources
302,https___doi.org_10.1007_s11912-016-0539-4,Cancer,Obesity,Cancer incidence is a collider variable because it is caused by both obesity and other risk factors.,Positive,collides_with_risk_factors
303,https___doi.org_10.1007_s11912-016-0539-4,Smoking,Obesity,There is an inverse relationship between BMI and smoking.,Negative,prevents_obesity
304,https___doi.org_10.1007_s11912-016-0539-4,Cancer,Weight loss,Cancer causes weight loss due to loss of appetite or increased metabolic demands.,Negative,causes_weight_loss
306,https___doi.org_10.1007_s40641-018-0089-y,Observational record,Global-mean surface temperature,The observational record of global-mean surface temperature over the 20th century as a constraint on aerosol radiative forcing has been attempted in many ways but is fraught with problems.,Negative,affects_forcing
307,https___doi.org_10.1007_s40641-018-0089-y,Internal variability,Greenhouse gas ERF,A constraint on each component individually cannot be extracted from the observational record of a single variable.,Unknown,is_constrained_by
308,https___doi.org_10.1007_s40641-018-0089-y,Internal variability,Aerosol ERF,A constraint on each component individually cannot be extracted from the observational record of a single variable.,Unknown,is_constrained_by
309,https___doi.org_10.1007_s40641-018-0089-y,Aerosol concentration,ACI,The logarithmic increase in ACI with aerosol concentration.,Positive,increases_aci
310,https___doi.org_10.1007_s42452-020-03705-y,CO2 emissions,Economic growth,Bidirectional causality between CO2 emissions and economic growth.,Both,bidirectional_causality
311,https___doi.org_10.1007_s42452-020-03705-y,CO2 emissions,Energy consumption,Unidirectional causality from CO2 emissions to energy consumption.,Positive,causes_energy_consumption
312,https___doi.org_10.1007_s42452-020-03705-y,Economic growth,CO2 emissions,Bidirectional causality between economic growth and CO2 emissions.,Both,bidirectional_causality
313,https___doi.org_10.1007_s42452-020-03705-y,Trade openness,Economic growth,Unidirectional causality from economic growth to trade openness.,Positive,cases_trade_openness
314,https___doi.org_10.1007_s42452-020-03705-y,Gross capital formation,CO2 emissions,Positive correlation between gross capital formation and CO2 emissions.,Unknown,pos_correlation
315,https___doi.org_10.1007_s42452-020-03705-y,Foreign direct investment,CO2 emissions,Negative comovement between foreign direct investment and CO2 emissions.,Negative,neg_comovement
316,https___doi.org_10.1016_j.annals.2012.05.023,International tourism,GDP,Many studies confirm a unidirectional causality running from international tourism to real GDP.,Positive,international_tourism_impacts_gdp
317,https___doi.org_10.1016_j.annals.2012.05.023,Capital formation,Welfare-promoting effect,The mechanism underlying tourism’s welfare-promoting effect follow the so-called Employment Effect.,Unknown,employment_effect
318,https___doi.org_10.1016_j.apr.2017.06.004,SO2,Air pollutants,The relationshi p between household income and air pollutants is negative and significant;,Negative,air_pollutants_negative_relationship
319,https___doi.org_10.1016_j.apr.2017.06.004,NO2,Traffic volume,...,Positive,traffic_volume_positive_effect
320,https___doi.org_10.1016_j.apr.2017.06.004,PM10,Income,...,Negative,household_income_negative_effect
321,https___doi.org_10.1016_j.apr.2017.06.004,Income,Income inequality,The Environmental Kuznets Curve (EKC) hypothesis suggests that the relationship between income inequality and per-capita income is characterised by an inverted U -shaped curve.,Positive,economic_growth_positive_effect
323,https___doi.org_10.1016_j.ecolecon.2016.08.008,Option that is dominant in the community becomes more salient,Certain choices,Becoming more salient affects the likelihood of certain choices.,Positive,salients
324,https___doi.org_10.1016_j.techfore.2020.120255,Financial development,Increased emissions,"Financial development has dual effects on pollution level. On the positive side, finance possessing wealth effect may degrade environmental quality.",Negative,cases_against_sustainability
325,https___doi.org_10.1016_j.techfore.2020.120255,Increased finance with low cost of capital,Production and pollution increase,The increased finance with low cost of capital motivates firms to produce more which leads to...,Positive,promotes_pollution
326,https___doi.org_10.1016_j.techfore.2020.120255,Financial crisis,Carbon dioxide emissions,"The financial crisis is one of the factors that pushed business and industrial sectors for energy efficiency and switching economy to lower carbon fuels, which reduced carbon emissions.",Negative,reduces_carbon_emissions
327,https___doi.org_10.1017_9781316651148,Population density,Vulnerability,"The occurrence of an extreme natural event concurrent with economic marginality can result in double exposure (O'Brien et al. 2004). Therefore, in order to truly understand hazards, stressors cannot be considered in isolation (Tobin and Montz 1997).",Negative,vulnerability_to_hazards
328,https___doi.org_10.1017_9781316651148,Extreme natural event,Hazards,The occurrence of an extreme natural event concurrent with economic marginality can result in double exposure (O'Brien et al. 2004).,Positive,double_exposure
329,https___doi.org_10.1017_9781316651148,Economic downturn,Hazards,The occurrence of an extreme natural event concurrent with economic downturn can result in double exposure to hazards (O'Brien et al. 2004).,Positive,double_exposure
330,https___doi.org_10.1017_9781316651148,Unequal access to resources,Vulnerability,"Social factors, resulting in vulnerability via unequal exposure to hazards (Watts and Bohle 1993).",Positive,vulnerability
331,https___doi.org_10.1017_9781316651148,Societal issues,Vulnerability,"Societal issues such as policy agendas, resource management, land use patterns, wealth distribution, and economic development may overlap with natural events, combining with place and time to make individual hazards unique (Mitchell et al. 1989; Tobin and Montz 1997).",Positive,vulnerability
332,https___doi.org_10.1038_s41467-018-05256-8,European summer weather,persistent hot-dry conditions,tions combine with soil-moisture feedbacks to push European summer weather towards much more persistent hot-dry conditions,Positive,pushes_towards_persistent_hot_dry_conditions
333,https___doi.org_10.1038_s41467-018-05256-8,Arcic teleconnections,more persistent hot-dry extremes in the mid-latitudes,between Arctic teleconnections and other remote and regional feedback processes could lead to more persistent hot-dry extremes in the mid-latitudes,Unknown,leads_to_more_persistent_hot_dry_extremes
334,https___doi.org_10.1038_s41467-018-05256-8,Arctic amplification (AA),mid-latitude circulation and possibly ward temperature gradient,The extent to which AA affects the mid-latitude circulation and possibly ward temperature gradient is not well quantiﬁed but they provide potential high-impact risks for society,Unknown,affects_mid_latitude_circulation
335,https___doi.org_10.1038_s41467-018-05256-8,upstream latent heat release,persistent blocking,Upstream latent heat release has been identiﬁed as an important contributor to persistent blocking and this mechanism is especially important in summer,Positive,contributes_to_persistent_blocking
336,https___doi.org_10.1038_s41467-019-10105-3,major tropical atmospheric uplifts,strong average causal effect and average causal susceptibility in the network,average change in any other component (node) induced by a one-standard-deviation increase (perturbation) inX,Positive,induces_perturbation_in_node
337,https___doi.org_10.1038_s41558-022-01401-w,Damages,Number of emigrants from lowest income quintile,The dampening effect of climate-induced income reduction on migration goes down when the shock is greater.,Negative,dampens_migration
338,https___doi.org_10.1038_s41558-022-01401-w,Damages,Inequality,Within-region Gini coefficients are higher when damages are inversely proportional to income.,Positive,increases_inequality
340,https___doi.org_10.1088_1748-9326_11_7_074004,A stationary Jet Stream position,development of high pressure and temperature extremes over Central Europe during the heat wave,A stationary position of the Jet Stream that favours the development of high surface temperatures over Central Europe during the heat wave.,Positive,jet_stream_position_drives_extremes
341,https___doi.org_10.1111_risa.13128,El Niño,El Niño,Some exceptions have to be made for common driving forces.,Positive,driving_force_interaction
342,https___doi.org_10.1111_risa.13128,Droughts and weather extremes,regions that oscillate between dry and wet conditions,System-wide feedbacks between different components strengthen each other.,Positive,feedback_strength
343,https___doi.org_10.1111_risa.13128,Climate change,complexity of the area of competence,Could increase the complexity of the area of competence.,Unknown,increases_complexity
347,https___doi.org_10.1186_s40878-020-00210-4,Tropical cyclone,Trapped poor people,Many of the (car-less) poor were trapped in the city.,Negative,traps_people
350,https___doi.org_10.17528_cifor_000341,Labour,Deforestation,The interaction between different types of agents frequently makes it difficult to separate their impacts and determine their relative importance.,Unknown,influences_deforestation
351,https___doi.org_10.3386_w10191,Log colleges per capita in 1940,∆log(average MSA family income),Having an extra 10 percent of an area's adult population with college degrees increases expected income growth.,Positive,increases_income_growth
352,https___doi.org_10.3386_w10191,Log colleges per capita in 1940,∆log(city median house value),Having an extra 10 percent of an area's adult population with college degrees has a pure compositional effect on the growth of average family income and median house values.,Unknown,has_pure_compositional_effect
353,https___doi.org_10.3386_w12735,health innovations,Better health,Improvements in health are caused by growth and by innovations in health technology.,Positive,causes_health_improvements
354,https___doi.org_10.3386_w12735,Icome,Better health,Growth in per capita income is also affected by health.,Positive,better_health_from_growth
355,https___doi.org_10.3386_w12735,Icome,Better health,The positive effect of growth on health will not necessarily show up in the correlation between health improvements and economic growth.,Unknown,does_not_impact_correlation
356,https___doi.org_10.3386_w13987,Maternal reports about child health,Poor child health,"Mothers are asked if the child’s health is excellent, very good...",Negative,poor_child_health_from_maternal_reports
357,https___doi.org_10.3386_w13987,Born in recessions,Higher mortality rates,Those born in recessions suffer up to 7 percent higher mortality rates after the first year of life...,Positive,suffers_higher_mortality_rates
359,https___doi.org_10.3386_w20352,Tropical cyclone,Tropical cyclone,Physical parameters and meteorological observations.,Negative,disaster_event_impacts_exposure
360,https___doi.org_10.3386_w20750,High temperatures in neighboring counties,Income,There is some evidence that high temperatures in neighboring counties have negative eﬀects on a county’s own income.,Negative,neighbor_temps_negative_impact
361,https___doi.org_10.3386_w26167,Climate change,Economic growth,Changes in labour productivity slow investment and damage human health.,Negative,effects_macro_economy
362,https___doi.org_10.3386_w26167,Climate change,Economic growth,Temperature increases reduce per capita output growth in the short-to medium-term (level e¤ects).,Unknown,has_level_effects
363,https___doi.org_10.3386_w26167,Precipitation deviation from historical norms,Output growth,Deviations of precipitation from its historical norms do not a¤ect output growth.,Negative,no_effect_on_output_growth
364,https___doi.org_10.3389_fenvs.2022.879681,Deteriorating environment,Renewable energy consumption,There is a bidirectional causality between renewable energy and environment.,Negative,inhibits_renewable_energy
365,https___doi.org_10.3389_fenvs.2022.879681,Carbon dioxide emissions,Global warming,Carbon dioxide emissions will lead to global warming.,Positive,leads_to
366,https___doi.org_10.3389_fenvs.2022.879681,Global warming,Carbon dioxide emissions,Global warming in turn appears to increase carbon dioxide emissions and diffusion.,Both,increases_emissions_and_diffusion
367,https___doi.org_10.3389_fenvs.2022.879681,Droughts and weather extremes,Renewable energy consumption,Extreme weather will inhibit the development of renewable energy sources by reducing the efﬁciency of energy generation and increasing maintenance costs.,Negative,inhibits_renewable_energy
368,https___doi.org_10.3389_fhumd.2023.1121662,Urban population growth,Undernourishment,Causality that runs one-way from the prevalence of undernourishment to GDP per capita growth was found at 5% as well.,Negative,urban_population_growth_impacts_undernourishment
369,https___doi.org_10.3389_fnsys.2015.00151,Deterministic system,Recurrence,Because even tiny uncertainties in measurements make the climate models diverge very quickly.,Positive,recurs_recursively
372,https___doi.org_10.4310_cms.2010.v8.n1.a10,Stratiform anvil clouds,cools the lower troposphere and heats the upper troposphere,Stratiform anvil clouds...heat the upper troposphere and cool the lower troposphere due to the evaporation of stratiform rain.,Positive,cools_heats_troposphere
373,https___doi.org_10.5194_gmd-14-5269-2021,Climate change,Damages,The impact attribution framework could then be used to approximate the contribution of climate change to observed trends in reported damages.,Positive,contributes_to_observed_damages
374,https___doi.org_10.5194_gmd-14-5269-2021,Droughts and weather extremes,Economic damages,Droughts that can be combined with maps of asset distribution and empirical damage functions to estimate the direct economic damages induced by weather extremes.,Positive,induces_direct_economic_damages
375,https___doi.org_10.5194_gmd-14-5269-2021,Vulnerability,Damages,Changes in damages driven by changes in exposure or vulnerability can be separated from the contribution of climate change using process-based climate impact models.,Unknown,drives_changes_in_damages
376,https___doi.org_10.5194_gmd-14-5269-2021,Crop yields,Climate-driven changes in crop yields,Changes in management that alter climate-induced changes in crop yields.,Positive,alters_climate_induced_crop_yields
377,https___doi.org_10.5194_gmd-14-5269-2021,Land use changes,Climate-driven changes in biodiversity,Land use changes adding to climate-driven changes in biodiversity.,Negative,contributes_to_climate_driven_biodiversity_loss
378,https___doi.org_10.5194_gmd-14-5269-2021,Climatic drivers,Climate change,The ‘classical’ attribution framework refers to the attribution of changes in the climate system to anthropogenic forcing.,Positive,drives_changes_in_climate_system
379,https___doi.org_10.5194_hess-18-2735-2014,Low-dimensional models,Representing feedbacks of driver-impact linkages,Low-dimensional models have also the potential of representing feedbacks of driver-impact linkages in the spirit of socio-hydrology models.,Positive,represents_feedback_of_driver_impact_linkages
380,https___doi.org_10.5194_hess-19-3667-2015,Water scarcity,Reduced well-being,A direct relationship between reduced well-being and water scarcity may arise.,Positive,reduces_well_being
382,https___doi.org_10.5751_es-06528-190268,Climate change,Migration,nan,No difference,causes_nomadic_migration
383,https___doi.org_10.5751_es-06528-190268,Precipitation,Conflict number,nan,Granger causality found at lag 21,causes_conflict
384,https___doi.org_10.5751_es-06528-190268,Precipitation,Migration,nan,Granger causality found at lag 1,causes_northward_migration
385,https___doi.org_10.5751_es-06528-190268,Precipitation,Migration,nan,Granger causality found at lag 1,causes_southward_migration
